1, 1, heb, transcription, </supplied>1, texts/xml/jeru0194.xml
50, 50, heb, transcription, </lb>.50, texts/xml/jord0001.xml
51, 51, heb, transcription, </lb>.51, texts/xml/jord0001.xml
52, 52, heb, transcription, </lb>.52, texts/xml/jord0001.xml
53, 53, heb, transcription, </lb>.53, texts/xml/jord0001.xml
54, 54, heb, transcription, </lb>.54, texts/xml/jord0001.xml
55, 55, heb, transcription, </lb>.55, texts/xml/jord0001.xml
56, 56, heb, transcription, </lb>.56, texts/xml/jord0001.xml
57, 57, heb, transcription, </lb>.57, texts/xml/jord0001.xml
58, 58, heb, transcription, </lb>.58, texts/xml/jord0001.xml
59, 59, heb, transcription, </lb>.59, texts/xml/jord0001.xml
6, 6, heb, transcription, </lb>.6, texts/xml/jord0001.xml
60, 60, heb, transcription, </lb>.60, texts/xml/jord0001.xml
61, 61, heb, transcription, </lb>.61, texts/xml/jord0001.xml
62, 62, heb, transcription, </lb>.62, texts/xml/jord0001.xml
63, 63, heb, transcription, </lb>.63, texts/xml/jord0001.xml
64, 64, heb, transcription, </lb>.64, texts/xml/jord0001.xml
65, 65, heb, transcription, </lb>.65, texts/xml/jord0001.xml
66, 66, heb, transcription, </lb>.66, texts/xml/jord0001.xml
67, 67, heb, transcription, </lb>.67, texts/xml/jord0001.xml
68, 68, heb, transcription, </lb>.68, texts/xml/jord0001.xml
69, 69, heb, transcription, </lb>.69, texts/xml/jord0001.xml
7, 7, heb, transcription, </lb>.7, texts/xml/jord0001.xml
70, 70, heb, transcription, </lb>.70, texts/xml/jord0001.xml
71, 71, heb, transcription, </lb>.71, texts/xml/jord0001.xml
72, 72, heb, transcription, </lb>.72, texts/xml/jord0001.xml
73, 73, heb, transcription, </lb>.73, texts/xml/jord0001.xml
74, 74, heb, transcription, </lb>.74, texts/xml/jord0001.xml
75, 75, heb, transcription, </lb>.75, texts/xml/jord0001.xml
76, 76, heb, transcription, </lb>.76, texts/xml/jord0001.xml
77, 77, heb, transcription, </lb>.77, texts/xml/jord0001.xml
78, 78, heb, transcription, </lb>.78, texts/xml/jord0001.xml
79, 79, heb, transcription, </lb>.79, texts/xml/jord0001.xml
8, 8, heb, transcription, </lb>.8, texts/xml/jord0001.xml
80, 80, heb, transcription, </lb>.80, texts/xml/jord0001.xml
81, 81, heb, transcription, </lb>.81, texts/xml/jord0001.xml
82, 82, heb, transcription, </lb>.82, texts/xml/jord0001.xml
83, 83, heb, transcription, </lb>.83, texts/xml/jord0001.xml
84, 84, heb, transcription, </lb>.84, texts/xml/jord0001.xml
85, 85, heb, transcription, </lb>.85, texts/xml/jord0001.xml
86, 86, heb, transcription, </lb>.86, texts/xml/jord0001.xml
87, 87, heb, transcription, </lb>.87, texts/xml/jord0001.xml
9, 9, heb, transcription, </lb>.9, texts/xml/jord0001.xml
Shelamzin, Shelamzin, heb, transcription, Shelamzin</p></div>, texts/xml/akld0019.xml
\, \, heb, transcription, </unclear></unclear></unclear></unclear></unclear></unclear></unclear></unclear>\, texts/xml/jord0001.xml
\, \, heb, transcription, \, texts/xml/jord0001.xml
Άρίστωνος, Άρίστωνος, heb, transcription, Άρίστωνος</supplied></foreign>, texts/xml/akld0024.xml
Α, Α, heb, transcription, </lb>Α, texts/xml/masa0302.xml
Α, Α, heb, transcription, </lb>Α, texts/xml/masa0313.xml
Α, Α, heb, transcription, </lb>Α, texts/xml/masa0329.xml
Α, Α, heb, transcription, </lb>Α, texts/xml/masa0341.xml
Β, Β, heb, transcription, </lb>Β, texts/xml/masa0351.xml
ΕΚΤΙϹΕΝ, ΕΚΤΙϹΕΝ, heb, transcription, ΕΚΤΙϹΕΝ</supplied>, texts/xml/dabb0001.xml
Κ·ΝΙΦ, Κ·ΝΙΦ, heb, transcription, </lb>Κ</unclear>·Ν</unclear>ΙΦ, texts/xml/jeru0183.xml
Κομόδου, Κομόδου, heb, transcription, </lb>Κομόδ</abbr>ου</ex></expan>, texts/xml/mari0005.xml
Μαθία, Μαθία, heb, transcription, </lb>Μαθία, texts/xml/jeru0172.xml
Μαθίας, Μαθίας, heb, transcription, Μαθίας, texts/xml/jeru0171.xml
Μαριεάμη, Μαριεάμη, heb, transcription, </lb>Μαριεάμη, texts/xml/jeru0171.xml
Ρ, Ρ, heb, transcription, </gap></gap>Ρ</gap>, texts/xml/masa0595.xml
ΡΟΥϹΤΙΚΟϹ, ΡΟΥϹΤΙΚΟϹ, heb, transcription, </lb>ΡΟ</supplied>ΥϹΤΙΚΟϹ, texts/xml/dabb0001.xml
Σάου, Σάου, heb, transcription, </lb>Σάου, texts/xml/jeru0074.xml
Σίμων, Σίμων, heb, transcription, Σίμων, texts/xml/jeru0172.xml
Σαλών, Σαλών, heb, transcription, Σαλών</supplied>, texts/xml/akld0024.xml
αὐτοῦ, αὐτοῦ, heb, transcription, αὐτοῦ, texts/xml/jeru0171.xml
αὐτὰ, αὐτὰ, heb, transcription, </lb>αὐτὰ, texts/xml/jeru0171.xml
γυνή·, γυνή·, heb, transcription, </lb>γυνή·, texts/xml/jeru0171.xml
δρου, δρου, heb, transcription, </lb>δρου, texts/xml/jeru0088.xml
θεῷ, θεῷ, heb, transcription, </lb>θεῷ, texts/xml/mari0005.xml
καὶ, καὶ, heb, transcription, καὶ, texts/xml/jeru0172.xml
κυρίου, κυρίου, heb, transcription, κυρ</abbr>ίου</ex></expan>, texts/xml/mari0005.xml
κυρε, κυρε, heb, transcription, </lb>κυρε, texts/xml/jeru0172.xml
λος, λος, heb, transcription, </lb>λος</foreign></p></div>, texts/xml/jeru0074.xml
οπολείτῃ, οπολείτῃ, heb, transcription, </lb>οπολείτ</supplied>ῃ, texts/xml/mari0005.xml
ουρουν, ουρουν, heb, transcription, </lb>ουρουν, texts/xml/jeru0171.xml
πάταξε, πάταξε, heb, transcription, πάταξε, texts/xml/jeru0171.xml
ρου, ρου, heb, transcription, </lb>ρου, texts/xml/jeru0088.xml
σω, σω, heb, transcription, σω, texts/xml/mari0005.xml
τηρίας, τηρίας, heb, transcription, </lb>τηρίας, texts/xml/mari0005.xml
τουπου, τουπου, heb, transcription, τουπου, texts/xml/jeru0172.xml
τοῦ, τοῦ, heb, transcription, </lb>τοῦ, texts/xml/mari0005.xml
τυς, τυς, heb, transcription, τυς, texts/xml/jeru0172.xml
υἱὸς, υἱὸς, heb, transcription, </lb>υἱὸς, texts/xml/jaff0052.xml
א, א, heb, transcription, </unclear>א</unclear>, texts/xml/beth0267.xml
א, א, heb, transcription, </lb>א, texts/xml/jeru0068.xml
א, א, heb, transcription, א</supplied>, texts/xml/jord0001.xml
א, א, heb, transcription, א, texts/xml/jord0001.xml
א, א, heb, transcription, </unclear></gap>א, texts/xml/jord0001.xml
א, א, heb, transcription, </unclear></unclear></unclear>א, texts/xml/jord0001.xml
א, א, heb, transcription, </gap>א, texts/xml/jord0001.xml
א, א, heb, transcription, </unclear></unclear>א, texts/xml/jord0001.xml
א, א, heb, transcription, </gap></unclear>א, texts/xml/jord0001.xml
א, א, heb, transcription, א, texts/xml/jord0001.xml
א, א, heb, transcription, א, texts/xml/jord0001.xml
א, א, heb, transcription, </unclear>א, texts/xml/jord0001.xml
א, א, heb, transcription, </gap></unclear>א, texts/xml/jord0001.xml
א, א, heb, transcription, א, texts/xml/jord0001.xml
א, א, heb, transcription, </gap></unclear>א, texts/xml/jord0001.xml
א, א, heb, transcription, א, texts/xml/jord0001.xml
א, א, heb, transcription, </unclear></unclear></gap></unclear></unclear></unclear></unclear></unclear></unclear></unclear></unclear></unclear>א, texts/xml/jord0001.xml
א, א, heb, transcription, </lb></gap>א</unclear>, texts/xml/sepp0002.xml
א, א, heb, transcription, א, texts/xml/sepp0007.xml
א, א, heb, transcription, א</unclear>, texts/xml/sepp0008.xml
א, א, heb, transcription, </lb></gap>א</unclear>, texts/xml/sepp0010.xml
א, א, heb, transcription, א</p></div>, texts/xml/unkn0102.xml
אב, אב, heb, transcription, אב, texts/xml/beth0234.xml
אב, אב, heb, transcription, אב, texts/xml/jord0001.xml
אב, אב, heb, transcription, </unclear></gap>אב, texts/xml/jord0001.xml
אבונה, אבונה, heb, transcription, אבונה, texts/xml/jeru0042.xml
אבי, אבי, heb, transcription, אבי</p></div>, texts/xml/masa0389.xml
אובן, אובן, heb, transcription, אובן, texts/xml/sepp0006.xml
אוהבין, אוהבין, heb, transcription, אוהבין, texts/xml/jord0001.xml
אוכסנטים, אוכסנטים, heb, transcription, אוכסנטים, texts/xml/mari0004.xml
אומר, אומר, heb, transcription, אומר, texts/xml/jord0001.xml
אושעיה, אושעיה, heb, transcription, א</unclear>ושעיה</p></div>, texts/xml/masa0384.xml
אותגלות, אותגלות, heb, transcription, </unclear>אותגלות, texts/xml/jord0001.xml
אז, אז, heb, transcription, אז, texts/xml/jord0001.xml
אזביא, אזביא, heb, transcription, אזביא, texts/xml/jeri0012.xml
אזביא, אזביא, heb, transcription, אזביא, texts/xml/jeri0012.xml
אזביא, אזביא, heb, transcription, אזביא, texts/xml/jeri0012.xml
אזביא, אזביא, heb, transcription, אזביא, texts/xml/jeri0012.xml
אזביא, אזביא, heb, transcription, </lb>אזביא, texts/xml/jeri0017.xml
אזביא, אזביא, heb, transcription, </lb>אזביא, texts/xml/jeri0017.xml
אזביא, אזביא, heb, transcription, </lb>אזביא, texts/xml/jeri0017.xml
אח, אח, heb, transcription, </gap>אח</add>, texts/xml/jeru0236.xml
אח, אח, heb, transcription, אח</unclear>, texts/xml/qumr0001.xml
אחד, אחד, heb, transcription, אחד, texts/xml/jord0001.xml
אחיה, אחיה, heb, transcription, אחיה, texts/xml/beth0235.xml
אטיון, אטיון, heb, transcription, אטיון, texts/xml/beth0238.xml
אי, אי, heb, transcription, </unclear>אי, texts/xml/jord0001.xml
אין, אין, heb, transcription, אין</p></div>, texts/xml/caes0500.xml
איסטמכוס, איסטמכוס, heb, transcription, </lb>אי</unclear>סטמ</unclear>כוס</p></div>, texts/xml/masa0413.xml
איש, איש, heb, transcription, איש, texts/xml/jord0001.xml
אל, אל, heb, transcription, אל, texts/xml/jord0001.xml
אל, אל, heb, transcription, אל, texts/xml/jord0001.xml
אל, אל, heb, transcription, </unclear></unclear></unclear>אל, texts/xml/jord0001.xml
אל, אל, heb, transcription, אל, texts/xml/jord0001.xml
אל, אל, heb, transcription, אל, texts/xml/jord0001.xml
אל, אל, heb, transcription, אל, texts/xml/jord0001.xml
אלה, אלה, heb, transcription, אלה, texts/xml/jord0001.xml
אלה, אלה, heb, transcription, אלה, texts/xml/jord0001.xml
אלהי, אלהי, heb, transcription, אלהי, texts/xml/jord0001.xml
אלהי, אלהי, heb, transcription, אלהי, texts/xml/jord0001.xml
אלהי, אלהי, heb, transcription, אלהי, texts/xml/jord0001.xml
אלהי, אלהי, heb, transcription, אלהי, texts/xml/jord0001.xml
אלהי, אלהי, heb, transcription, אלהי, texts/xml/jord0001.xml
אלהי, אלהי, heb, transcription, אלהי, texts/xml/jord0001.xml
אלהי, אלהי, heb, transcription, אלהי, texts/xml/jord0001.xml
אלהי, אלהי, heb, transcription, אלהי, texts/xml/jord0001.xml
אלהים, אלהים, heb, transcription, אלהים, texts/xml/jord0001.xml
אלהים, אלהים, heb, transcription, אלהים, texts/xml/jord0001.xml
אלהים, אלהים, heb, transcription, אלהים, texts/xml/jord0001.xml
אלהים, אלהים, heb, transcription, אלהים, texts/xml/jord0001.xml
אלהים, אלהים, heb, transcription, אלהים, texts/xml/jord0001.xml
אלהים, אלהים, heb, transcription, </unclear>אלהים, texts/xml/jord0001.xml
אלהנו, אלהנו, heb, transcription, </lb>אלהנו, texts/xml/unkn0103.xml
אלו, אלו, heb, transcription, אלו, texts/xml/beth0239.xml
אליעזר, אליעזר, heb, transcription, </lb>אליעזר, texts/xml/dabb0006.xml
אליעזר, אליעזר, heb, transcription, אליעזר</p></div>, texts/xml/masa0390.xml
אליעזרשמת, אליעזרשמת, heb, transcription, אליעזרשמת</supplied>, texts/xml/beth0248.xml
אלכסנדריה, אלכסנדריה, heb, transcription, </lb>אלכסנ</supplied>ד</unclear>ריה, texts/xml/jaff0057.xml
אלעוד, אלעוד, heb, transcription, אלעוד</p></div>, texts/xml/masa0469.xml
אלעזר, אלעזר, heb, transcription, אלעזר, texts/xml/jeri0005.xml
אלעזר, אלעזר, heb, transcription, </lb>אלעזר, texts/xml/jeri0016.xml
אלעזר, אלעזר, heb, transcription, אלעזר, texts/xml/jeru0046.xml
אלעזר, אלעזר, heb, transcription, אלעזר, texts/xml/jeru0047.xml
אלעזר, אלעזר, heb, transcription, אלעזר, texts/xml/jeru0127.xml
אלעזר, אלעזר, heb, transcription, אלעזר, texts/xml/jeru0127.xml
אלעזר, אלעזר, heb, transcription, אלעזר, texts/xml/jeru0185.xml
אלעזר, אלעזר, heb, transcription, אלעזר, texts/xml/jeru0303.xml
אלעזר, אלעזר, heb, transcription, </lb>אלעזר, texts/xml/masa0038.xml
אלעזר, אלעזר, heb, transcription, </lb>אלעזר</supplied>, texts/xml/masa0038.xml
אלעזר, אלעזר, heb, transcription, אלעזר</p></div>, texts/xml/masa0381.xml
אלעזר, אלעזר, heb, transcription, אלעזר</p></div>, texts/xml/masa0476.xml
אלעזר, אלעזר, heb, transcription, אלעזר</p></div>, texts/xml/masa0510.xml
אלעזר, אלעזר, heb, transcription, אלעזר</supplied>, texts/xml/masa0511.xml
אם, אם, heb, transcription, אם, texts/xml/jord0001.xml
אם, אם, heb, transcription, אם, texts/xml/jord0001.xml
אמה, אמה, heb, transcription, אמה, texts/xml/jeru0180.xml
אמות, אמות, heb, transcription, אמות, texts/xml/masa0585.xml
אמן, אמן, heb, transcription, </lb>אמן, texts/xml/sepp0001.xml
אמן, אמן, heb, transcription, </lb>אמן, texts/xml/sepp0003.xml
אמן, אמן, heb, transcription, אמן, texts/xml/sepp0003.xml
אמן, אמן, heb, transcription, </lb>אמן, texts/xml/sepp0004.xml
אמן, אמן, heb, transcription, אמן, texts/xml/sepp0004.xml
אמן, אמן, heb, transcription, </lb>אמן, texts/xml/sepp0005.xml
אמן, אמן, heb, transcription, אמן, texts/xml/sepp0006.xml
אמן, אמן, heb, transcription, אמן, texts/xml/sepp0008.xml
אמן, אמן, heb, transcription, אמן</p></div>, texts/xml/sepp0008.xml
אמן, אמן, heb, transcription, א</unclear>מן</p></div>, texts/xml/sepp0010.xml
אמן, אמן, heb, transcription, אמן, texts/xml/tibe0003.xml
אמן, אמן, heb, transcription, אמן, texts/xml/tibe0003.xml
אמן, אמן, heb, transcription, אמן, texts/xml/tibe0003.xml
אמנא, אמנא, heb, transcription, אמנא, texts/xml/jeru0043.xml
אמס, אמס, heb, transcription, אמס, texts/xml/jeru0183.xml
אמס, אמס, heb, transcription, אמס, texts/xml/jeru0183.xml
אמר, אמר, heb, transcription, אמר, texts/xml/jord0001.xml
אמר, אמר, heb, transcription, אמר, texts/xml/jord0001.xml
אמר, אמר, heb, transcription, אמר, texts/xml/jord0001.xml
אמר, אמר, heb, transcription, אמר, texts/xml/jord0001.xml
אמר, אמר, heb, transcription, אמר, texts/xml/jord0001.xml
אמר, אמר, heb, transcription, אמר, texts/xml/jord0001.xml
אמר, אמר, heb, transcription, אמר, texts/xml/jord0001.xml
אמר, אמר, heb, transcription, אמר, texts/xml/jord0001.xml
אמר, אמר, heb, transcription, אמר, texts/xml/jord0001.xml
אמר, אמר, heb, transcription, אמר, texts/xml/jord0001.xml
אמשא, אמשא, heb, transcription, </lb>אמשא, texts/xml/beth0252.xml
אנחנו, אנחנו, heb, transcription, אנחנו, texts/xml/jord0001.xml
אני, אני, heb, transcription, אני, texts/xml/jord0001.xml
אני, אני, heb, transcription, </unclear></unclear>אני, texts/xml/jord0001.xml
אני, אני, heb, transcription, </unclear>אני, texts/xml/jord0001.xml
אני, אני, heb, transcription, אני, texts/xml/jord0001.xml
אני, אני, heb, transcription, אני, texts/xml/jord0001.xml
אניאנה, אניאנה, heb, transcription, אניאנה, texts/xml/beth0239.xml
אנינא, אנינא, heb, transcription, אנינא, texts/xml/beth0233.xml
אנינה, אנינה, heb, transcription, אנינה, texts/xml/sepp0010.xml
אנכי, אנכי, heb, transcription, אנכי, texts/xml/jord0001.xml
אנשים, אנשים, heb, transcription, אנשים, texts/xml/jord0001.xml
אנתת, אנתת, heb, transcription, </lb>אנתת, texts/xml/jeru0046.xml
אנתת, אנתת, heb, transcription, אנתת, texts/xml/jeru0183.xml
אפלגנה, אפלגנה, heb, transcription, </lb>אפלגנה</p></div>, texts/xml/unkn0101.xml
אפמלס, אפמלס, heb, transcription, אפמלס</p></div>, texts/xml/seph0100.xml
אק, אק, heb, transcription, </unclear></unclear></unclear>אק, texts/xml/jord0001.xml
ארבגלא, ארבגלא, heb, transcription, ארבגלא</p></div>, texts/xml/erra0002.xml
ארבע, ארבע, heb, transcription, ארבע, texts/xml/masa0585.xml
ארבע, ארבע, heb, transcription, ארבע</p></div>, texts/xml/masa0586.xml
ארבעה, ארבעה, heb, transcription, ארבעה, texts/xml/jord0001.xml
ארבעין, ארבעין, heb, transcription, ארבעין, texts/xml/jord0001.xml
ארובות, ארובות, heb, transcription, ארובות, texts/xml/jord0001.xml
אריה, אריה, heb, transcription, </lb>אריה, texts/xml/tibe0001.xml
ארס, ארס, heb, transcription, </unclear></unclear></unclear>ארס, texts/xml/jord0001.xml
ארסטון, ארסטון, heb, transcription, ארסטון</p></div>, texts/xml/akld0024.xml
אשמנ, אשמנ, heb, transcription, אשמנ</supplied>, texts/xml/tdor0002.xml
אשעיה, אשעיה, heb, transcription, אשעיה, texts/xml/masa0411.xml
אשריא, אשריא, heb, transcription, אשריא, texts/xml/jord0001.xml
אשת, אשת, heb, transcription, אשת</p></div>, texts/xml/masa0400.xml
אשתו, אשתו, heb, transcription, </lb>אשתו, texts/xml/beth0246.xml
את, את, heb, transcription, </lb>את, texts/xml/beth0250.xml
את, את, heb, transcription, את, texts/xml/jord0001.xml
את, את, heb, transcription, את, texts/xml/jord0001.xml
את, את, heb, transcription, </lb>את, texts/xml/qumr0001.xml
אתגלות, אתגלות, heb, transcription, אתגלות, texts/xml/jord0001.xml
אתה, אתה, heb, transcription, אתה, texts/xml/jord0001.xml
אתה, אתה, heb, transcription, אתה, texts/xml/jord0001.xml
אתרה, אתרה, heb, transcription, </lb>אתרה, texts/xml/tibe0003.xml
אתת, אתת, heb, transcription, אתת, texts/xml/jeru0017.xml
אתת, אתת, heb, transcription, </lb>אתת, texts/xml/jeru0045.xml
אתת, אתת, heb, transcription, </lb>אתת, texts/xml/jeru0107.xml
אתת, אתת, heb, transcription, </lb>אתת, texts/xml/jeru0118.xml
אתת, אתת, heb, transcription, אתת, texts/xml/masa0399.xml
אתת, אתת, heb, transcription, אתת</p></div>, texts/xml/masa0402.xml
ב, ב, heb, transcription, ב</p></div>, texts/xml/jent0001.xml
ב, ב, heb, transcription, </gap>ב, texts/xml/jord0001.xml
ב, ב, heb, transcription, </unclear>ב, texts/xml/jord0001.xml
ב, ב, heb, transcription, </unclear>ב, texts/xml/jord0001.xml
ב, ב, heb, transcription, </gap></unclear></unclear></unclear>ב, texts/xml/jord0001.xml
ב, ב, heb, transcription, </unclear></unclear></gap></unclear></unclear>ב, texts/xml/jord0001.xml
ב, ב, heb, transcription, </gap></unclear></unclear></unclear>ב, texts/xml/jord0001.xml
ב, ב, heb, transcription, </gap></unclear></unclear>ב, texts/xml/jord0001.xml
ב, ב, heb, transcription, </unclear>ב, texts/xml/jord0001.xml
ב, ב, heb, transcription, ב, texts/xml/jord0001.xml
ב, ב, heb, transcription, ב, texts/xml/masa0401.xml
ב, ב, heb, transcription, ב</unclear>, texts/xml/qumr0001.xml
ב, ב, heb, transcription, ב</unclear>, texts/xml/qumr0001.xml
בגדולות, בגדולות, heb, transcription, בגדולות, texts/xml/jord0001.xml
בגדלות, בגדלות, heb, transcription, בגדלות, texts/xml/jord0001.xml
בדין, בדין, heb, transcription, </lb>[ב]דין, texts/xml/abil0001.xml
בה, בה, heb, transcription, בה, texts/xml/dabb0001.xml
בה, בה, heb, transcription, בה, texts/xml/jord0001.xml
בה, בה, heb, transcription, ב</supplied>ה, texts/xml/masa0449.xml
בה, בה, heb, transcription, בה, texts/xml/masa0450.xml
בה, בה, heb, transcription, בה</supplied>, texts/xml/masa0451.xml
בוטא, בוטא, heb, transcription, בוטא</p></div>, texts/xml/unkn0100.xml
בוטון, בוטון, heb, transcription, </lb>בוטון, texts/xml/jeru0024.xml
בטוחין, בטוחין, heb, transcription, בטוחין, texts/xml/jord0001.xml
בי, בי, heb, transcription, </lb>בי, texts/xml/beth0258.xml
בי, בי, heb, transcription, בי</unclear>, texts/xml/masa0401.xml
בידוד, בידוד, heb, transcription, בידוד, texts/xml/jeru0148.xml
בירי, בירי, heb, transcription, בירי, texts/xml/beth0258.xml
ביריחו, ביריחו, heb, transcription, </lb>ביריחו, texts/xml/qumr0001.xml
ביש, ביש, heb, transcription, ביש</p></div>, texts/xml/beth0223.xml
ביש, ביש, heb, transcription, </lb>ביש, texts/xml/beth0224.xml
ביתה, ביתה, heb, transcription, ביתה, texts/xml/sepp0006.xml
בכול, בכול, heb, transcription, </unclear>בכול, texts/xml/jord0001.xml
בכל, בכל, heb, transcription, בכל, texts/xml/huqo0001.xml
בלה, בלה, heb, transcription, ב</unclear>לה</p></div>, texts/xml/masa0529.xml
בלה, בלה, heb, transcription, ב</unclear>לה</p></div>, texts/xml/masa0535.xml
בלסנה, בלסנה, heb, transcription, </choice>בלסנה</p></div>, texts/xml/masa0544.xml
בן, בן, heb, transcription, בן, texts/xml/beth0227.xml
בן, בן, heb, transcription, </lb>בן, texts/xml/beth0227.xml
בן, בן, heb, transcription, בן, texts/xml/beth0228.xml
בן, בן, heb, transcription, בן, texts/xml/beth0237.xml
בן, בן, heb, transcription, </lb>בן, texts/xml/beth0238.xml
בן, בן, heb, transcription, </lb>בן, texts/xml/beth0246.xml
בן, בן, heb, transcription, בן, texts/xml/beth0248.xml
בן, בן, heb, transcription, בן, texts/xml/beth0259.xml
בן, בן, heb, transcription, </lb>בן, texts/xml/haif0010.xml
בן, בן, heb, transcription, בן, texts/xml/jaff0054.xml
בן, בן, heb, transcription, </lb></gap>ב</unclear>ן, texts/xml/jaff0057.xml
בן, בן, heb, transcription, בן, texts/xml/jeri0005.xml
בן, בן, heb, transcription, </lb>בן, texts/xml/jeru0095.xml
בן, בן, heb, transcription, </lb>בן, texts/xml/jeru0118.xml
בן, בן, heb, transcription, </lb>בן, texts/xml/jeru0162.xml
בן, בן, heb, transcription, בן, texts/xml/jeru0303.xml
בן, בן, heb, transcription, </lb>בן, texts/xml/juda0001.xml
בן, בן, heb, transcription, </gap></gap>בן</p></div>, texts/xml/masa0472.xml
בן, בן, heb, transcription, בן, texts/xml/qumr0001.xml
בן, בן, heb, transcription, בן, texts/xml/shap0002.xml
בן, בן, heb, transcription, בן, texts/xml/shap0003.xml
בן, בן, heb, transcription, </lb></gap>בן, texts/xml/tibe0010.xml
בן, בן, heb, transcription, </lb></gap>בן, texts/xml/tibe0010.xml
בןי, בןי, heb, transcription, בןי</unclear>, texts/xml/masa0406.xml
בןכלה, בןכלה, heb, transcription, בןכ</unclear>לה</p></div>, texts/xml/masa0407.xml
בנ, בנ, heb, transcription, </gap>בנ, texts/xml/jord0001.xml
בנ, בנ, heb, transcription, בנ</p></div>, texts/xml/masa0429.xml
בנ, בנ, heb, transcription, בנ</p></div>, texts/xml/masa0430.xml
בנ, בנ, heb, transcription, בנ</p></div>, texts/xml/masa0435.xml
בנ, בנ, heb, transcription, בנ, texts/xml/qumr0002.xml
בנא, בנא, heb, transcription, </lb>בנא, texts/xml/jeru0092.xml
בנה, בנה, heb, transcription, </lb>בנה, texts/xml/jeru0092.xml
בנו, בנו, heb, transcription, בנו, texts/xml/beth0237.xml
בנו, בנו, heb, transcription, </lb>בנו, texts/xml/beth0244.xml
בנו, בנו, heb, transcription, בנו, texts/xml/beth0248.xml
בנוי, בנוי, heb, transcription, בנוי, texts/xml/sepp0002.xml
בנוי, בנוי, heb, transcription, בנוי, texts/xml/sepp0005.xml
בנותיה, בנותיה, heb, transcription, בנותיה, texts/xml/beth0243.xml
בני, בני, heb, transcription, בני, texts/xml/huqo0001.xml
בני, בני, heb, transcription, </lb>בני, texts/xml/jeru0047.xml
בני, בני, heb, transcription, </lb>בני, texts/xml/jeru0303.xml
בני, בני, heb, transcription, בני, texts/xml/jeru0303.xml
בני, בני, heb, transcription, </gap>בני, texts/xml/jord0001.xml
