Ὀλυμπιόδωρος | Ὀλυμπιόδωρος | grc | transcription | docs/texts/xml/caes0001.xml|<p>Ὀλυμπιόδωρος
Flavius | Flavius | la-transl | translation | docs/texts/xml/caes0003.xml|<p><name><persName lang="la " ref="persons.xml#caes0003p04" nymRef="names.xml#caes0003n04">Flavius
Augustus | Augustus | la-transl | translation | docs/texts/xml/caes0003.xml|<p><name><persName lang="la " ref="persons.xml#caes0003p05" nymRef="names.xml#caes0003n05">Augustus
By | By | la-transl | translation | docs/texts/xml/caes0003.xml|<p>By
decree | decree | la-transl | translation | docs/texts/xml/caes0003.xml|<p>decree
of | of | la-transl | translation | docs/texts/xml/caes0003.xml|<p>of
the | the | la-transl | translation | docs/texts/xml/caes0003.xml|<p>the
decurions | decurions | la-transl | translation | docs/texts/xml/caes0003.xml|<p>decurions
and | and | la-transl | translation | docs/texts/xml/caes0003.xml|<p>and
at | at | la-transl | translation | docs/texts/xml/caes0003.xml|<p>at
public | public | la-transl | translation | docs/texts/xml/caes0003.xml|<p>public
expense | expense | la-transl | translation | docs/texts/xml/caes0003.xml|<p>expense.
Lucio | lucius | la | transcription | docs/texts/xml/caes0004.xml|<p><expan>Lucio
Valerio | Valerio | la | transcription | docs/texts/xml/caes0004.xml|<p>Valerio
Valeriano | Valeriano | la | transcription | docs/texts/xml/caes0004.xml|<p>Valeriano
procuratori | procurator | la | transcription | docs/texts/xml/caes0004.xml|<p><del>procuratori
provinciae | provincia | la | transcription | docs/texts/xml/caes0004.xml|<p><del>provinciae
Syriae | Syriae | la | transcription | docs/texts/xml/caes0004.xml|<p><del><lb>Syriae
Palaestinae | Palaestinae | la | transcription | docs/texts/xml/caes0004.xml|<p>Palaestinae
provinciae | provincia | la | transcription | docs/texts/xml/caes0004.xml|<p>provinciae
praeposito | praepono | la | transcription | docs/texts/xml/caes0004.xml|<p><gap reason="illegible" quantity="6" unit="character"><lb>praeposito
summae | summa | la | transcription | docs/texts/xml/caes0004.xml|<p>summae
felicissimae | felix | la | transcription | docs/texts/xml/caes0004.xml|<p><del>felicissimae
expeditionis | expeditio | la | transcription | docs/texts/xml/caes0004.xml|<p><del>expeditionis
Mesopotamenae | Mesopotamenae | la | transcription | docs/texts/xml/caes0004.xml|<p><del><lb>Mesopotamenae
adv | adv | la | transcription | docs/texts/xml/caes0004.xml|<p>adv
ersus | ersus | la | transcription | docs/texts/xml/caes0004.xml|<p><del>ersus
Arabos | Arabos | la | transcription | docs/texts/xml/caes0004.xml|<p><del>Arabos
or | or | la | transcription | docs/texts/xml/caes0004.xml|<p><del>or
Parthos | Parthos | la | transcription | docs/texts/xml/caes0004.xml|<p><del>Parthos
praeposito | praepono | la | transcription | docs/texts/xml/caes0004.xml|<p><lb>praeposito
vexillationis | vexillationis | la | transcription | docs/texts/xml/caes0004.xml|<p><expan>vexillationis
felicissimae | felix | la | transcription | docs/texts/xml/caes0004.xml|<p>felicissimae
expeditionis | expeditio | la | transcription | docs/texts/xml/caes0004.xml|<p><supplied reason="undefined">expeditionis
urbicae | urbicus | la | transcription | docs/texts/xml/caes0004.xml|<p>urbicae
itemque | ito | la | transcription | docs/texts/xml/caes0004.xml|<p><expan>itemque
Asianae | Asianae | la | transcription | docs/texts/xml/caes0004.xml|<p>Asianae
adversus | adverro | la | transcription | docs/texts/xml/caes0004.xml|<p><del>adversus
hostes | hostis | la | transcription | docs/texts/xml/caes0004.xml|<p><del><gap reason="illegible" quantity="2" unit="characters"><lb>hostes
publicos | publicus | la | transcription | docs/texts/xml/caes0004.xml|<p>publicos
praeposito | praepono | la | transcription | docs/texts/xml/caes0004.xml|<p>praeposito
equitum | equio | la | transcription | docs/texts/xml/caes0004.xml|<p><del>equitum
peregrinarum | peregrina | la | transcription | docs/texts/xml/caes0004.xml|<p><del><lb>peregrinarum
adversus | adverro | la | transcription | docs/texts/xml/caes0004.xml|<p>adversus
procuratori | procurator | la | transcription | docs/texts/xml/caes0004.xml|<p><del><lb><expan>procuratori
Cypri | cyprus | la | transcription | docs/texts/xml/caes0004.xml|<p>Cypri
praefecto | praeficio | la | transcription | docs/texts/xml/caes0004.xml|<p><expan>praefecto
al | al | la | transcription | docs/texts/xml/caes0004.xml|<p>al
ae | ae | la | transcription | docs/texts/xml/caes0004.xml|<p><del>ae
I | eo | la | transcription | docs/texts/xml/caes0004.xml|<p><del>I
Hispanorum | Hispanorum | la | transcription | docs/texts/xml/caes0004.xml|<p><del>Hispanorum
Campagonum | Campagonum | la | transcription | docs/texts/xml/caes0004.xml|<p><del><lb>Campagonum
in | in | la | transcription | docs/texts/xml/caes0004.xml|<p>in
Dacia | Dacia | la | transcription | docs/texts/xml/caes0004.xml|<p>Dacia
tribuno | tribunus | la | transcription | docs/texts/xml/caes0004.xml|<p><del>tribuno
cohortis | cohors | la | transcription | docs/texts/xml/caes0004.xml|<p><del><expan>cohortis
I | eo | la | transcription | docs/texts/xml/caes0004.xml|<p><del>I
miliariae | miliarius | la | transcription | docs/texts/xml/caes0004.xml|<p><lb>miliariae
Hemesenorum | Hemesenorum | la | transcription | docs/texts/xml/caes0004.xml|<p>Hemesenorum
civium | civis | la | transcription | docs/texts/xml/caes0004.xml|<p><del>civium
Romanorum | Romanorum | la | transcription | docs/texts/xml/caes0004.xml|<p><del><expan>Romanorum
in | in | la | transcription | docs/texts/xml/caes0004.xml|<p><del>in
Pannonia | Pannonia | la | transcription | docs/texts/xml/caes0004.xml|<p><lb>Pannonia
praefecto | praeficio | la | transcription | docs/texts/xml/caes0004.xml|<p>praefecto
cohortis | cohors | la | transcription | docs/texts/xml/caes0004.xml|<p>cohortis
IIII | IIII | la | transcription | docs/texts/xml/caes0004.xml|<p><del>IIII
voluntariorum | voluntarius | la | transcription | docs/texts/xml/caes0004.xml|<p><del>voluntariorum
civium | civis | la | transcription | docs/texts/xml/caes0004.xml|<p><del>civium
Romanorum | Romanorum | la | transcription | docs/texts/xml/caes0004.xml|<p><del><expan>Romanorum
in | in | la | transcription | docs/texts/xml/caes0004.xml|<p><del>in
Pannonia | Pannonia | la | transcription | docs/texts/xml/caes0004.xml|<p><lb>Pannonia
Mevius | Mevius | la | transcription | docs/texts/xml/caes0004.xml|<p>Mevius
Romanus | Romanus | la | transcription | docs/texts/xml/caes0004.xml|<p>Romanus
centurio | centurio | la | transcription | docs/texts/xml/caes0004.xml|<p><abbr>centurio
legionis | legio | la | transcription | docs/texts/xml/caes0004.xml|<p><del><expan>legionis
VI | vis | la | transcription | docs/texts/xml/caes0004.xml|<p><del>VI
Ferratae | ferratus | la | transcription | docs/texts/xml/caes0004.xml|<p><del>Ferratae
fidelis | fidelis | la | transcription | docs/texts/xml/caes0004.xml|<p><del><lb>fidelis
constantis | consto | la | transcription | docs/texts/xml/caes0004.xml|<p><expan>constantis
Antoninianae | Antoninianae | la | transcription | docs/texts/xml/caes0004.xml|<p>Antoninianae
eius | is | la | transcription | docs/texts/xml/caes0004.xml|<p><gap reason="illegible" quantity="4" unit="character"><lb>eius
viro | vir | la | transcription | docs/texts/xml/caes0004.xml|<p>viro
i | eo | la | transcription | docs/texts/xml/caes0004.xml|<p>i
ncompara | ncompara | la | transcription | docs/texts/xml/caes0004.xml|<p><del>ncompara
bili | bilis | la | transcription | docs/texts/xml/caes0004.xml|<p><lb>bili.
To | To | la-transl | translation | docs/texts/xml/caes0004.xml|<p>To
Lucius | Lucius | la-transl | translation | docs/texts/xml/caes0004.xml|<p><name><persName lang="la " ref="persons.xml#caes0004p01" nymRef="names.xml#caes0004n01">Lucius
Valerius | Valerius | la-transl | translation | docs/texts/xml/caes0004.xml|<p><name><persName lang="la " ref="persons.xml#caes0004p02" nymRef="names.xml#caes0004n02">Valerius
Valerianus | Valerianus | la-transl | translation | docs/texts/xml/caes0004.xml|<p><name><persName lang="la " ref="persons.xml#caes0004p03" nymRef="names.xml#caes0004n03">Valerianus
procurator | procurator | la-transl | translation | docs/texts/xml/caes0004.xml|<p><name><rs type="admTitle">procurator
of | of | la-transl | translation | docs/texts/xml/caes0004.xml|<p>of
the | the | la-transl | translation | docs/texts/xml/caes0004.xml|<p>the
province | province | la-transl | translation | docs/texts/xml/caes0004.xml|<p>province
Syria | Syria | la-transl | translation | docs/texts/xml/caes0004.xml|<p><placeName>Syria
Palestina | Palestina | la-transl | translation | docs/texts/xml/caes0004.xml|<p><placeName>Palestina
and | and | la-transl | translation | docs/texts/xml/caes0004.xml|<p>and
of | of | la-transl | translation | docs/texts/xml/caes0004.xml|<p>of
the | the | la-transl | translation | docs/texts/xml/caes0004.xml|<p>the
province | province | la-transl | translation | docs/texts/xml/caes0004.xml|<p>province...;
charged | charged | la-transl | translation | docs/texts/xml/caes0004.xml|<p>charged
with | with | la-transl | translation | docs/texts/xml/caes0004.xml|<p>with
completing | completing | la-transl | translation | docs/texts/xml/caes0004.xml|<p>completing
the | the | la-transl | translation | docs/texts/xml/caes0004.xml|<p>the
most | most | la-transl | translation | docs/texts/xml/caes0004.xml|<p>most
fortunate | fortunate | la-transl | translation | docs/texts/xml/caes0004.xml|<p>fortunate
Mesopotamian | Mesopotamian | la-transl | translation | docs/texts/xml/caes0004.xml|<p>Mesopotamian
expedition | expedition | la-transl | translation | docs/texts/xml/caes0004.xml|<p>expedition
against | against | la-transl | translation | docs/texts/xml/caes0004.xml|<p>against
the | the | la-transl | translation | docs/texts/xml/caes0004.xml|<p>the
Arabs | Arabs | la-transl | translation | docs/texts/xml/caes0004.xml|<p>Arabs
or | or | la-transl | translation | docs/texts/xml/caes0004.xml|<p>(or
Parthians | Parthians | la-transl | translation | docs/texts/xml/caes0004.xml|<p>Parthians);
placed | placed | la-transl | translation | docs/texts/xml/caes0004.xml|<p>placed
in | in | la-transl | translation | docs/texts/xml/caes0004.xml|<p>in
charge | charge | la-transl | translation | docs/texts/xml/caes0004.xml|<p>charge
of | of | la-transl | translation | docs/texts/xml/caes0004.xml|<p>of
a | a | la-transl | translation | docs/texts/xml/caes0004.xml|<p>a
detachment | detachment | la-transl | translation | docs/texts/xml/caes0004.xml|<p>detachment
for | for | la-transl | translation | docs/texts/xml/caes0004.xml|<p>for
the | the | la-transl | translation | docs/texts/xml/caes0004.xml|<p>the
most | most | la-transl | translation | docs/texts/xml/caes0004.xml|<p>most
fortunate | fortunate | la-transl | translation | docs/texts/xml/caes0004.xml|<p>fortunate
urban | urban | la-transl | translation | docs/texts/xml/caes0004.xml|<p>urban
expedition | expedition | la-transl | translation | docs/texts/xml/caes0004.xml|<p>expedition
likewise | likewise | la-transl | translation | docs/texts/xml/caes0004.xml|<p>likewise
for | for | la-transl | translation | docs/texts/xml/caes0004.xml|<p>for
the | the | la-transl | translation | docs/texts/xml/caes0004.xml|<p>the
Asian | Asian | la-transl | translation | docs/texts/xml/caes0004.xml|<p>Asian
expedition | expedition | la-transl | translation | docs/texts/xml/caes0004.xml|<p>expedition
against | against | la-transl | translation | docs/texts/xml/caes0004.xml|<p>against
the | the | la-transl | translation | docs/texts/xml/caes0004.xml|<p>the
public | public | la-transl | translation | docs/texts/xml/caes0004.xml|<p>public
enemies | enemies | la-transl | translation | docs/texts/xml/caes0004.xml|<p>enemies;
placed | placed | la-transl | translation | docs/texts/xml/caes0004.xml|<p>placed
in | in | la-transl | translation | docs/texts/xml/caes0004.xml|<p>in
charge | charge | la-transl | translation | docs/texts/xml/caes0004.xml|<p>charge
of | of | la-transl | translation | docs/texts/xml/caes0004.xml|<p>of
a | a | la-transl | translation | docs/texts/xml/caes0004.xml|<p>a
peregrine | peregrine | la-transl | translation | docs/texts/xml/caes0004.xml|<p>peregrine
cavalry | cavalry | la-transl | translation | docs/texts/xml/caes0004.xml|<p>cavalry
unit | unit | la-transl | translation | docs/texts/xml/caes0004.xml|<p>unit
against | against | la-transl | translation | docs/texts/xml/caes0004.xml|<p>against...;
procurator | procurator | la-transl | translation | docs/texts/xml/caes0004.xml|<p><rs type="admTitle">procurator
of | of | la-transl | translation | docs/texts/xml/caes0004.xml|<p>of
Cyprus | Cyprus | la-transl | translation | docs/texts/xml/caes0004.xml|<p>Cyprus;
prefect | prefect | la-transl | translation | docs/texts/xml/caes0004.xml|<p><rs type="admTitle">prefect
of | of | la-transl | translation | docs/texts/xml/caes0004.xml|<p>of
the | the | la-transl | translation | docs/texts/xml/caes0004.xml|<p>the
first | first | la-transl | translation | docs/texts/xml/caes0004.xml|<p>first
cavalry | cavalry | la-transl | translation | docs/texts/xml/caes0004.xml|<p>cavalry
squadron | squadron | la-transl | translation | docs/texts/xml/caes0004.xml|<p>squadron
of | of | la-transl | translation | docs/texts/xml/caes0004.xml|<p>of
the | the | la-transl | translation | docs/texts/xml/caes0004.xml|<p>the
Spanish | Spanish | la-transl | translation | docs/texts/xml/caes0004.xml|<p>Spanish
Campagoni | Campagoni | la-transl | translation | docs/texts/xml/caes0004.xml|<p>Campagoni
in | in | la-transl | translation | docs/texts/xml/caes0004.xml|<p>in
Dacia | Dacia | la-transl | translation | docs/texts/xml/caes0004.xml|<p>Dacia;
tribune | tribune | la-transl | translation | docs/texts/xml/caes0004.xml|<p><rs type="admTitle">tribune
of | of | la-transl | translation | docs/texts/xml/caes0004.xml|<p>of
the | the | la-transl | translation | docs/texts/xml/caes0004.xml|<p>the
first | first | la-transl | translation | docs/texts/xml/caes0004.xml|<p>first
thousandman | thousandman | la-transl | translation | docs/texts/xml/caes0004.xml|<p>thousand-man
cohort | cohort | la-transl | translation | docs/texts/xml/caes0004.xml|<p>cohort
of | of | la-transl | translation | docs/texts/xml/caes0004.xml|<p>of
Roman | Roman | la-transl | translation | docs/texts/xml/caes0004.xml|<p>Roman
citizen | citizen | la-transl | translation | docs/texts/xml/caes0004.xml|<p>citizen
Hemeseni | Hemeseni | la-transl | translation | docs/texts/xml/caes0004.xml|<p><persName lang="la " ref="persons.xml#caes0004p04">Hemeseni
in | in | la-transl | translation | docs/texts/xml/caes0004.xml|<p>in
Pannonia | Pannonia | la-transl | translation | docs/texts/xml/caes0004.xml|<p><placeName>Pannonia
prefect | prefect | la-transl | translation | docs/texts/xml/caes0004.xml|<p><rs type="admTitle">prefect
of | of | la-transl | translation | docs/texts/xml/caes0004.xml|<p>of
the | the | la-transl | translation | docs/texts/xml/caes0004.xml|<p>the
fourth | fourth | la-transl | translation | docs/texts/xml/caes0004.xml|<p>fourth
cohort | cohort | la-transl | translation | docs/texts/xml/caes0004.xml|<p>cohort
of | of | la-transl | translation | docs/texts/xml/caes0004.xml|<p>of
Roman | Roman | la-transl | translation | docs/texts/xml/caes0004.xml|<p>Roman
citizen | citizen | la-transl | translation | docs/texts/xml/caes0004.xml|<p>citizen
volunteers | volunteers | la-transl | translation | docs/texts/xml/caes0004.xml|<p>volunteers
in | in | la-transl | translation | docs/texts/xml/caes0004.xml|<p>in
Pannonia | Pannonia | la-transl | translation | docs/texts/xml/caes0004.xml|<p>Pannonia.
Mevius | Mevius | la-transl | translation | docs/texts/xml/caes0004.xml|<p><name><persName lang="la " ref="persons.xml#caes0004p05" nymRef="names.xml#caes0004n05">Mevius
Romanus | Romanus | la-transl | translation | docs/texts/xml/caes0004.xml|<p><name><persName lang="la " ref="persons.xml#caes0004p06" nymRef="names.xml#caes0004n06">Romanus
centurion | centurion | la-transl | translation | docs/texts/xml/caes0004.xml|<p><name><rs type="admTitle">centurion
of | of | la-transl | translation | docs/texts/xml/caes0004.xml|<p>of
the | the | la-transl | translation | docs/texts/xml/caes0004.xml|<p>the
sixth | sixth | la-transl | translation | docs/texts/xml/caes0004.xml|<p>sixth
legion | legion | la-transl | translation | docs/texts/xml/caes0004.xml|<p>legion
Ferrata | Ferrata | la-transl | translation | docs/texts/xml/caes0004.xml|<p>Ferrata
fidelis | fidelis | la-transl | translation | docs/texts/xml/caes0004.xml|<p>fidelis
constans | constans | la-transl | translation | docs/texts/xml/caes0004.xml|<p>constans
Antoniniana | Antoniniana | la-transl | translation | docs/texts/xml/caes0004.xml|<p>Antoniniana
his | his | la-transl | translation | docs/texts/xml/caes0004.xml|<p>his...
to | to | la-transl | translation | docs/texts/xml/caes0004.xml|<p>to
an | an | la-transl | translation | docs/texts/xml/caes0004.xml|<p>an
incomparable | incomparable | la-transl | translation | docs/texts/xml/caes0004.xml|<p>incomparable
man | man | la-transl | translation | docs/texts/xml/caes0004.xml|<p>man.
Αὐρήλιον | Αὐρήλιον | grc | transcription | docs/texts/xml/caes0005.xml|<p><choice><abbr>Αὐρήλιον
Αὐρήλιον | Αὐρήλιον | grc | transcription | docs/texts/xml/caes0005.xml|<p><choice><abbr>Αὐρήλιον
Μάρωνα | Μάρωνα | grc | transcription | docs/texts/xml/caes0005.xml|<p><choice>Μάρωνα
ἐπίτρ | ἐπίτρ | grc | transcription | docs/texts/xml/caes0005.xml|<p><choice><abbr>ἐπίτρ
ἐπίτροπον | ἐπίτροπον | grc | transcription | docs/texts/xml/caes0005.xml|<p><choice><abbr>ἐπίτροπον
τοῦ | ὁ | grc | transcription | docs/texts/xml/caes0005.xml|<p><choice><lb>τοῦ
Σεβαστοῦ | σεβαστός | grc | transcription | docs/texts/xml/caes0005.xml|<p><expan>Σεβαστοῦ
διέποντα | διέποντα | grc | transcription | docs/texts/xml/caes0005.xml|<p>διέποντα
τὰ | τὰ | grc | transcription | docs/texts/xml/caes0005.xml|<p>τὰ
μέρη | μέρη | grc | transcription | docs/texts/xml/caes0005.xml|<p>μέρη
τῆς | ὁ | grc | transcription | docs/texts/xml/caes0005.xml|<p>τῆς
ἡγεμονίας | ἡγεμονίας | grc | transcription | docs/texts/xml/caes0005.xml|<p>ἡγεμονίας
Ν | Ν | grc | transcription | docs/texts/xml/caes0005.xml|<p>Ν
ς | ς | grc | transcription | docs/texts/xml/caes0005.xml|<p><gap reason="illegible"><unclear>ς
Ἀλέξανδρος | Ἀλέξανδρος | grc | transcription | docs/texts/xml/caes0005.xml|<p>Ἀλέξανδρος
ἑκατόνταρχος | ἑκατόνταρχος | grc | transcription | docs/texts/xml/caes0005.xml|<p>ἑκατόνταρχος
τόν | τόν | grc | transcription | docs/texts/xml/caes0005.xml|<p>τόν
φίλον | φίλον | grc | transcription | docs/texts/xml/caes0005.xml|<p>φίλον.
The | The | grc-transl | translation | docs/texts/xml/caes0005.xml|<p>The
centurion | centurion | grc-transl | translation | docs/texts/xml/caes0005.xml|<p><rs type="admTitle">centurion
N | N | grc-transl | translation | docs/texts/xml/caes0005.xml|<p><persName lang="la " ref="persons.xml#caes0005p01">N-
Alexandros | Alexandros | grc-transl | translation | docs/texts/xml/caes0005.xml|<p><persName lang="la " ref="persons.xml#caes0005p01">Alexandros
honors | honors | grc-transl | translation | docs/texts/xml/caes0005.xml|<p>honors
his | his | grc-transl | translation | docs/texts/xml/caes0005.xml|<p>his
friend | friend | grc-transl | translation | docs/texts/xml/caes0005.xml|<p>friend
Aurelios | Aurelios | grc-transl | translation | docs/texts/xml/caes0005.xml|<p><persName lang="la " ref="persons.xml#caes0005p02">Aurelios
Maron | Maron | grc-transl | translation | docs/texts/xml/caes0005.xml|<p>Maron
procurator | procurator | grc-transl | translation | docs/texts/xml/caes0005.xml|<p><rs type="admTitle">procurator
of | of | grc-transl | translation | docs/texts/xml/caes0005.xml|<p>of
Augustus | Augustus | grc-transl | translation | docs/texts/xml/caes0005.xml|<p>Augustus
and | and | grc-transl | translation | docs/texts/xml/caes0005.xml|<p>and
acting | acting | grc-transl | translation | docs/texts/xml/caes0005.xml|<p>acting
governor | governor | grc-transl | translation | docs/texts/xml/caes0005.xml|<p>governor.
Imperatori | imperator | la | transcription | docs/texts/xml/caes0006.xml|<p>Imperatori
Caes | Caes | la | transcription | docs/texts/xml/caes0006.xml|<p><choice><abbr>Caes
Caesari | Caesari | la | transcription | docs/texts/xml/caes0006.xml|<p><choice>Caesari
Caio | caio | la | transcription | docs/texts/xml/caes0006.xml|<p><choice><expan>Caio
Valerio | Valerio | la | transcription | docs/texts/xml/caes0006.xml|<p>Valerio
Diocletiano | Diocletiano | la | transcription | docs/texts/xml/caes0006.xml|<p><lb>Diocletiano
pio | pius | la | transcription | docs/texts/xml/caes0006.xml|<p><supplied reason="undefined">pio
felici | felix | la | transcription | docs/texts/xml/caes0006.xml|<p><supplied reason="undefined">felici
invicto | invictus | la | transcription | docs/texts/xml/caes0006.xml|<p><supplied reason="undefined">invicto
Aug | Aug | la | transcription | docs/texts/xml/caes0006.xml|<p><choice><abbr>Aug
Augusto | augustus | la | transcription | docs/texts/xml/caes0006.xml|<p><choice>Augusto
Clemes | Clemes | la | transcription | docs/texts/xml/caes0006.xml|<p><choice><lb><gap reason="illegible" quantity="1" unit="character"><unclear>Clemes
vir | vir | la | transcription | docs/texts/xml/caes0006.xml|<p>vir
perfectissimus | perficio | la | transcription | docs/texts/xml/caes0006.xml|<p>perfectissimus
procurator | procurator | la | transcription | docs/texts/xml/caes0006.xml|<p><lb>procurator
devotus | de_-voveo | la | transcription | docs/texts/xml/caes0006.xml|<p>devotus
numini | numen | la | transcription | docs/texts/xml/caes0006.xml|<p>numini
maiestatique | majestas | la | transcription | docs/texts/xml/caes0006.xml|<p>maiestatique
eius | is | la | transcription | docs/texts/xml/caes0006.xml|<p>eius.
To | To | la-transl | translation | docs/texts/xml/caes0006.xml|<p>To
Emperor | Emperor | la-transl | translation | docs/texts/xml/caes0006.xml|<p><rs type="admTitle">Emperor
Caesar | Caesar | la-transl | translation | docs/texts/xml/caes0006.xml|<p><rs type="admTitle">Caesar
Gaius | Gaius | la-transl | translation | docs/texts/xml/caes0006.xml|<p><name><persName lang="la " ref="persons.xml#caes0006p01" nymRef="names.xml#caes0006n01">Gaius
Valerius | Valerius | la-transl | translation | docs/texts/xml/caes0006.xml|<p><name><persName lang="la " ref="persons.xml#caes0006p02" nymRef="names.xml#caes0006n02">Valerius
Diocletian | Diocletian | la-transl | translation | docs/texts/xml/caes0006.xml|<p><name><persName lang="la " ref="persons.xml#caes0006p03" nymRef="names.xml#caes0006n03">Diocletian
faithful | faithful | la-transl | translation | docs/texts/xml/caes0006.xml|<p><name>faithful
and | and | la-transl | translation | docs/texts/xml/caes0006.xml|<p>and
happy | happy | la-transl | translation | docs/texts/xml/caes0006.xml|<p>happy
Augustus | Augustus | la-transl | translation | docs/texts/xml/caes0006.xml|<p>Augustus.
Clemens | Clemens | la-transl | translation | docs/texts/xml/caes0006.xml|<p><persName lang="la " ref="persons.xml#caes0006p05" nymRef="names.xml#caes0006n05">Clemens
of | of | la-transl | translation | docs/texts/xml/caes0006.xml|<p>of
perfectissimate | perfectissimate | la-transl | translation | docs/texts/xml/caes0006.xml|<p><rs type="admTitle">perfectissimate
rank | rank | la-transl | translation | docs/texts/xml/caes0006.xml|<p>rank
procurator | procurator | la-transl | translation | docs/texts/xml/caes0006.xml|<p><rs type="admTitle">procurator
devoted | devoted | la-transl | translation | docs/texts/xml/caes0006.xml|<p>devoted
to | to | la-transl | translation | docs/texts/xml/caes0006.xml|<p>to
