Ὀλυμπιόδωρος | Ὀλυμπιόδωρος | grc | transcription | docs/texts/xml/caes0001.xml|<p>Ὀλυμπιόδωρος
coloniae | colonia | la | transcription | docs/texts/xml/caes0003.xml|<p><expan><ex>col</abbr>oniae</ex></expan>
I | eo | la | transcription | docs/texts/xml/caes0003.xml|<p>I
Flaviae | Flaviae | la | transcription | docs/texts/xml/caes0003.xml|<p><expan><ex>Fl</abbr>aviae</ex></expan>
Augustae | augustus | la | transcription | docs/texts/xml/caes0003.xml|<p><expan><ex>Aug</abbr>ustae</ex></expan>
Caesareae | Caesareae | la | transcription | docs/texts/xml/caes0003.xml|<p>Caesareae
oratorem | orator | la | transcription | docs/texts/xml/caes0003.xml|<p>oratorem,
ex | ex | la | transcription | docs/texts/xml/caes0003.xml|<p>ex
decreto | decerno | la | transcription | docs/texts/xml/caes0003.xml|<p><expan><ex>dec</abbr>reto</ex></expan>
decurionum | decurio | la | transcription | docs/texts/xml/caes0003.xml|<p><expan><ex>dec</abbr>urionum</ex></expan>
pecunia | pecunia | la | transcription | docs/texts/xml/caes0003.xml|<p><expan><ex>pec</abbr>unia</ex></expan>
publica | publico | la | transcription | docs/texts/xml/caes0003.xml|<p><expan><ex>publ</abbr>ica</ex></expan>.
Marcus | Marcus | la-transl | translation | docs/texts/xml/caes0003.xml|<p><name><persName lang="la " ref="persons.xml#caes0003p01" nymRef="names.xml#caes0003n01">Marcus
Flavius | Flavius | la-transl | translation | docs/texts/xml/caes0003.xml|<p><name><persName lang="la " ref="persons.xml#caes0003p02" nymRef="names.xml#caes0003n02">Flavius
Agrippa | Agrippa | la-transl | translation | docs/texts/xml/caes0003.xml|<p><name>Agrippa
priest | priest | la-transl | translation | docs/texts/xml/caes0003.xml|<p><name><rs type="religTitle">priest
duovir | duovir | la-transl | translation | docs/texts/xml/caes0003.xml|<p><rs type="admTitle">duovir
orator | orator | la-transl | translation | docs/texts/xml/caes0003.xml|<p><rs type="occupation">orator
of | of | la-transl | translation | docs/texts/xml/caes0003.xml|<p>of
Caesarea | Caesarea | la-transl | translation | docs/texts/xml/caes0003.xml|<p><placeName>Caesarea
the | the | la-transl | translation | docs/texts/xml/caes0003.xml|<p>the
first | first | la-transl | translation | docs/texts/xml/caes0003.xml|<p>first
colony | colony | la-transl | translation | docs/texts/xml/caes0003.xml|<p>colony
of | of | la-transl | translation | docs/texts/xml/caes0003.xml|<p>of
Flavius | Flavius | la-transl | translation | docs/texts/xml/caes0003.xml|<p><name><persName lang="la " ref="persons.xml#caes0003p04" nymRef="names.xml#caes0003n04">Flavius
Augustus | Augustus | la-transl | translation | docs/texts/xml/caes0003.xml|<p><name><persName lang="la " ref="persons.xml#caes0003p05" nymRef="names.xml#caes0003n05">Augustus
By | By | la-transl | translation | docs/texts/xml/caes0003.xml|<p>By
decree | decree | la-transl | translation | docs/texts/xml/caes0003.xml|<p>decree
of | of | la-transl | translation | docs/texts/xml/caes0003.xml|<p>of
the | the | la-transl | translation | docs/texts/xml/caes0003.xml|<p>the
decurions | decurions | la-transl | translation | docs/texts/xml/caes0003.xml|<p>decurions
and | and | la-transl | translation | docs/texts/xml/caes0003.xml|<p>and
at | at | la-transl | translation | docs/texts/xml/caes0003.xml|<p>at
public | public | la-transl | translation | docs/texts/xml/caes0003.xml|<p>public
expense | expense | la-transl | translation | docs/texts/xml/caes0003.xml|<p>expense.
Lucio | lucius | la | transcription | docs/texts/xml/caes0004.xml|<p><expan><ex>L</abbr>ucio</ex></expan>
Valerio | Valerio | la | transcription | docs/texts/xml/caes0004.xml|<p>Valerio
Valeriano | Valeriano | la | transcription | docs/texts/xml/caes0004.xml|<p>Valeriano
procuratori | procurator | la | transcription | docs/texts/xml/caes0004.xml|<p><del><expan><ex>proc</abbr>uratori</ex></expan>
provinciae | provincia | la | transcription | docs/texts/xml/caes0004.xml|<p><del><expan><ex>provin</abbr>ciae</ex></expan>
Syriae | Syriae | la | transcription | docs/texts/xml/caes0004.xml|<p><expan><ex>Syr</abbr>iae</ex></expan>
Palaestinae | Palaestinae | la | transcription | docs/texts/xml/caes0004.xml|<p><expan><ex>Palaest</abbr>inae</ex></expan>
provinciae | provincia | la | transcription | docs/texts/xml/caes0004.xml|<p><expan><ex>provin</abbr>ciae</ex></expan>
praeposito | praepono | la | transcription | docs/texts/xml/caes0004.xml|<p>praeposito
summae | summa | la | transcription | docs/texts/xml/caes0004.xml|<p><expan><abbr>summ</abbr>a</ex>e</abbr></expan>
felicissimae | felix | la | transcription | docs/texts/xml/caes0004.xml|<p><del><expan><ex>feliciss</abbr>imae</ex></expan>
expeditionis | expeditio | la | transcription | docs/texts/xml/caes0004.xml|<p><del><expan><ex>exped</abbr>itionis</ex></expan>
Mesopotamenae | Mesopotamenae | la | transcription | docs/texts/xml/caes0004.xml|<p>Mesopotamenae
adv | adv | la | transcription | docs/texts/xml/caes0004.xml|<p><unclear>adv</unclear>
ersus | ersus | la | transcription | docs/texts/xml/caes0004.xml|<p><del>ersus
Arabos | Arabos | la | transcription | docs/texts/xml/caes0004.xml|<p><del>Arabos
or | or | la | transcription | docs/texts/xml/caes0004.xml|<p><del>or
Parthos | Parthos | la | transcription | docs/texts/xml/caes0004.xml|<p><del>Parthos</del>
praeposito | praepono | la | transcription | docs/texts/xml/caes0004.xml|<p><expan><ex>praepos</abbr>ito</ex></expan>
vexillationis | vexillationis | la | transcription | docs/texts/xml/caes0004.xml|<p><expan><ex>vexil</abbr>lationis</ex></expan>
felicissimae | felix | la | transcription | docs/texts/xml/caes0004.xml|<p><supplied reason="undefined">felicissimae
expeditionis | expeditio | la | transcription | docs/texts/xml/caes0004.xml|<p><supplied reason="undefined"><expan><ex>exped</abbr>itionis</ex></expan>
urbicae | urbicus | la | transcription | docs/texts/xml/caes0004.xml|<p><expan><ex>urbic</abbr>ae</ex></expan>
itemque | ito | la | transcription | docs/texts/xml/caes0004.xml|<p><expan><ex>itemq</abbr>ue</ex></expan>
Asianae | Asianae | la | transcription | docs/texts/xml/caes0004.xml|<p><del>Asianae
adversus | adverro | la | transcription | docs/texts/xml/caes0004.xml|<p><del>adversus
hostes | hostis | la | transcription | docs/texts/xml/caes0004.xml|<p>hostes
publicos | publicus | la | transcription | docs/texts/xml/caes0004.xml|<p>publicos
praeposito | praepono | la | transcription | docs/texts/xml/caes0004.xml|<p><expan><ex>praep</del></abbr>osito</ex></expan>
equitum | equio | la | transcription | docs/texts/xml/caes0004.xml|<p><del><expan><ex>eq</abbr>uitum</ex></expan>
peregrinarum | peregrina | la | transcription | docs/texts/xml/caes0004.xml|<p>peregrinarum
adversus | adverro | la | transcription | docs/texts/xml/caes0004.xml|<p><del>adversus</gap></del>
procuratori | procurator | la | transcription | docs/texts/xml/caes0004.xml|<p><expan><ex>proc</abbr>uratori</ex></expan>
Cypri | cyprus | la | transcription | docs/texts/xml/caes0004.xml|<p>Cypri
praefecto | praeficio | la | transcription | docs/texts/xml/caes0004.xml|<p><expan><ex>praef</abbr>ecto</ex></expan>
al | al | la | transcription | docs/texts/xml/caes0004.xml|<p><unclear>al</unclear>
ae | ae | la | transcription | docs/texts/xml/caes0004.xml|<p><del>ae
I | eo | la | transcription | docs/texts/xml/caes0004.xml|<p><del>I
Hispanorum | Hispanorum | la | transcription | docs/texts/xml/caes0004.xml|<p><del><expan><ex>Hispan</abbr>orum</ex></expan>
Campagonum | Campagonum | la | transcription | docs/texts/xml/caes0004.xml|<p>Campagonum
in | in | la | transcription | docs/texts/xml/caes0004.xml|<p>in
Dacia | Dacia | la | transcription | docs/texts/xml/caes0004.xml|<p><del>Dacia
tribuno | tribunus | la | transcription | docs/texts/xml/caes0004.xml|<p><del><expan><ex>trib</abbr>uno</ex></expan>
cohortis | cohors | la | transcription | docs/texts/xml/caes0004.xml|<p><del><expan><ex>c</abbr>o</ex>ho</abbr>rtis</ex></expan>
I | eo | la | transcription | docs/texts/xml/caes0004.xml|<p><del>I</del>
miliariae | miliarius | la | transcription | docs/texts/xml/caes0004.xml|<p>miliariae
Hemesenorum | Hemesenorum | la | transcription | docs/texts/xml/caes0004.xml|<p><del>Hemesenorum
civium | civis | la | transcription | docs/texts/xml/caes0004.xml|<p><del><expan><ex>c</abbr>ivium</ex></expan>
Romanorum | Romanorum | la | transcription | docs/texts/xml/caes0004.xml|<p><del><expan><ex>R</abbr>omanorum</ex></expan>
in | in | la | transcription | docs/texts/xml/caes0004.xml|<p><del>in</del>
Pannonia | Pannonia | la | transcription | docs/texts/xml/caes0004.xml|<p><hi rend="ligature">Pan</hi>nonia
praefecto | praeficio | la | transcription | docs/texts/xml/caes0004.xml|<p><expan><ex>praef</abbr>ecto</ex></expan>
cohortis | cohors | la | transcription | docs/texts/xml/caes0004.xml|<p><expan><ex>c</abbr>o</ex>ho</abbr>rtis</ex></expan>
IIII | IIII | la | transcription | docs/texts/xml/caes0004.xml|<p><del>IIII
voluntariorum | voluntarius | la | transcription | docs/texts/xml/caes0004.xml|<p><del><expan><ex>vol</abbr>untariorum</ex></expan>
civium | civis | la | transcription | docs/texts/xml/caes0004.xml|<p><del><expan><ex>c</abbr>ivium</ex></expan>
Romanorum | Romanorum | la | transcription | docs/texts/xml/caes0004.xml|<p><del><expan><ex>R</abbr>omanorum</ex></expan>
in | in | la | transcription | docs/texts/xml/caes0004.xml|<p><del>in</del>
Pannonia | Pannonia | la | transcription | docs/texts/xml/caes0004.xml|<p>Pannonia,
Mevius | Mevius | la | transcription | docs/texts/xml/caes0004.xml|<p>Mevius
Romanus | Romanus | la | transcription | docs/texts/xml/caes0004.xml|<p>Romanus
centurio | centurio | la | transcription | docs/texts/xml/caes0004.xml|<p><expan><ex>centurio</ex></expan>
legionis | legio | la | transcription | docs/texts/xml/caes0004.xml|<p><del><expan><ex>leg</abbr>ionis</ex></expan>
VI | vis | la | transcription | docs/texts/xml/caes0004.xml|<p><del>VI
Ferratae | ferratus | la | transcription | docs/texts/xml/caes0004.xml|<p><del><expan><ex>Ferr</abbr>atae</ex></expan>
fidelis | fidelis | la | transcription | docs/texts/xml/caes0004.xml|<p><expan><ex>f</abbr>idelis</ex></expan>
constantis | consto | la | transcription | docs/texts/xml/caes0004.xml|<p><expan><ex>c</abbr>onstantis</ex></expan>
Antoninianae | Antoninianae | la | transcription | docs/texts/xml/caes0004.xml|<p>Antoninianae
eius | is | la | transcription | docs/texts/xml/caes0004.xml|<p><unclear>e</unclear>ius
viro | vir | la | transcription | docs/texts/xml/caes0004.xml|<p>viro
i | eo | la | transcription | docs/texts/xml/caes0004.xml|<p><unclear>i</unclear>
ncompara | ncompara | la | transcription | docs/texts/xml/caes0004.xml|<p><del>ncompara</del>
bili | bilis | la | transcription | docs/texts/xml/caes0004.xml|<p>bili.
To | To | la-transl | translation | docs/texts/xml/caes0004.xml|<p>To
Lucius | Lucius | la-transl | translation | docs/texts/xml/caes0004.xml|<p><name><persName lang="la " ref="persons.xml#caes0004p01" nymRef="names.xml#caes0004n01">Lucius
Valerius | Valerius | la-transl | translation | docs/texts/xml/caes0004.xml|<p><name><persName lang="la " ref="persons.xml#caes0004p02" nymRef="names.xml#caes0004n02">Valerius
Valerianus | Valerianus | la-transl | translation | docs/texts/xml/caes0004.xml|<p><name><persName lang="la " ref="persons.xml#caes0004p03" nymRef="names.xml#caes0004n03">Valerianus
procurator | procurator | la-transl | translation | docs/texts/xml/caes0004.xml|<p><name><rs type="admTitle">procurator
of | of | la-transl | translation | docs/texts/xml/caes0004.xml|<p>of
the | the | la-transl | translation | docs/texts/xml/caes0004.xml|<p>the
province | province | la-transl | translation | docs/texts/xml/caes0004.xml|<p>province
Syria | Syria | la-transl | translation | docs/texts/xml/caes0004.xml|<p><placeName>Syria
Palestina | Palestina | la-transl | translation | docs/texts/xml/caes0004.xml|<p><placeName>Palestina
and | and | la-transl | translation | docs/texts/xml/caes0004.xml|<p>and
of | of | la-transl | translation | docs/texts/xml/caes0004.xml|<p>of
the | the | la-transl | translation | docs/texts/xml/caes0004.xml|<p>the
province | province | la-transl | translation | docs/texts/xml/caes0004.xml|<p>province...;
charged | charged | la-transl | translation | docs/texts/xml/caes0004.xml|<p>charged
with | with | la-transl | translation | docs/texts/xml/caes0004.xml|<p>with
completing | completing | la-transl | translation | docs/texts/xml/caes0004.xml|<p>completing
the | the | la-transl | translation | docs/texts/xml/caes0004.xml|<p>the
most | most | la-transl | translation | docs/texts/xml/caes0004.xml|<p>most
fortunate | fortunate | la-transl | translation | docs/texts/xml/caes0004.xml|<p>fortunate
Mesopotamian | Mesopotamian | la-transl | translation | docs/texts/xml/caes0004.xml|<p>Mesopotamian
expedition | expedition | la-transl | translation | docs/texts/xml/caes0004.xml|<p>expedition
against | against | la-transl | translation | docs/texts/xml/caes0004.xml|<p>against
the | the | la-transl | translation | docs/texts/xml/caes0004.xml|<p>the
Arabs | Arabs | la-transl | translation | docs/texts/xml/caes0004.xml|<p>Arabs
or | or | la-transl | translation | docs/texts/xml/caes0004.xml|<p>(or
Parthians | Parthians | la-transl | translation | docs/texts/xml/caes0004.xml|<p>Parthians);
placed | placed | la-transl | translation | docs/texts/xml/caes0004.xml|<p>placed
in | in | la-transl | translation | docs/texts/xml/caes0004.xml|<p>in
charge | charge | la-transl | translation | docs/texts/xml/caes0004.xml|<p>charge
of | of | la-transl | translation | docs/texts/xml/caes0004.xml|<p>of
a | a | la-transl | translation | docs/texts/xml/caes0004.xml|<p>a
detachment | detachment | la-transl | translation | docs/texts/xml/caes0004.xml|<p>detachment
for | for | la-transl | translation | docs/texts/xml/caes0004.xml|<p>for
the | the | la-transl | translation | docs/texts/xml/caes0004.xml|<p>the
most | most | la-transl | translation | docs/texts/xml/caes0004.xml|<p>most
fortunate | fortunate | la-transl | translation | docs/texts/xml/caes0004.xml|<p>fortunate
urban | urban | la-transl | translation | docs/texts/xml/caes0004.xml|<p>urban
expedition | expedition | la-transl | translation | docs/texts/xml/caes0004.xml|<p>expedition
likewise | likewise | la-transl | translation | docs/texts/xml/caes0004.xml|<p>likewise
for | for | la-transl | translation | docs/texts/xml/caes0004.xml|<p>for
the | the | la-transl | translation | docs/texts/xml/caes0004.xml|<p>the
Asian | Asian | la-transl | translation | docs/texts/xml/caes0004.xml|<p>Asian
expedition | expedition | la-transl | translation | docs/texts/xml/caes0004.xml|<p>expedition
against | against | la-transl | translation | docs/texts/xml/caes0004.xml|<p>against
the | the | la-transl | translation | docs/texts/xml/caes0004.xml|<p>the
public | public | la-transl | translation | docs/texts/xml/caes0004.xml|<p>public
enemies | enemies | la-transl | translation | docs/texts/xml/caes0004.xml|<p>enemies;
placed | placed | la-transl | translation | docs/texts/xml/caes0004.xml|<p>placed
in | in | la-transl | translation | docs/texts/xml/caes0004.xml|<p>in
charge | charge | la-transl | translation | docs/texts/xml/caes0004.xml|<p>charge
of | of | la-transl | translation | docs/texts/xml/caes0004.xml|<p>of
a | a | la-transl | translation | docs/texts/xml/caes0004.xml|<p>a
peregrine | peregrine | la-transl | translation | docs/texts/xml/caes0004.xml|<p>peregrine
cavalry | cavalry | la-transl | translation | docs/texts/xml/caes0004.xml|<p>cavalry
unit | unit | la-transl | translation | docs/texts/xml/caes0004.xml|<p>unit
against | against | la-transl | translation | docs/texts/xml/caes0004.xml|<p>against...;
procurator | procurator | la-transl | translation | docs/texts/xml/caes0004.xml|<p><rs type="admTitle">procurator
of | of | la-transl | translation | docs/texts/xml/caes0004.xml|<p>of
Cyprus | Cyprus | la-transl | translation | docs/texts/xml/caes0004.xml|<p>Cyprus;
prefect | prefect | la-transl | translation | docs/texts/xml/caes0004.xml|<p><rs type="admTitle">prefect
of | of | la-transl | translation | docs/texts/xml/caes0004.xml|<p>of
the | the | la-transl | translation | docs/texts/xml/caes0004.xml|<p>the
first | first | la-transl | translation | docs/texts/xml/caes0004.xml|<p>first
cavalry | cavalry | la-transl | translation | docs/texts/xml/caes0004.xml|<p>cavalry
squadron | squadron | la-transl | translation | docs/texts/xml/caes0004.xml|<p>squadron
of | of | la-transl | translation | docs/texts/xml/caes0004.xml|<p>of
the | the | la-transl | translation | docs/texts/xml/caes0004.xml|<p>the
Spanish | Spanish | la-transl | translation | docs/texts/xml/caes0004.xml|<p>Spanish
Campagoni | Campagoni | la-transl | translation | docs/texts/xml/caes0004.xml|<p>Campagoni
in | in | la-transl | translation | docs/texts/xml/caes0004.xml|<p>in
Dacia | Dacia | la-transl | translation | docs/texts/xml/caes0004.xml|<p>Dacia;
tribune | tribune | la-transl | translation | docs/texts/xml/caes0004.xml|<p><rs type="admTitle">tribune
of | of | la-transl | translation | docs/texts/xml/caes0004.xml|<p>of
the | the | la-transl | translation | docs/texts/xml/caes0004.xml|<p>the
first | first | la-transl | translation | docs/texts/xml/caes0004.xml|<p>first
thousandman | thousandman | la-transl | translation | docs/texts/xml/caes0004.xml|<p>thousand-man
cohort | cohort | la-transl | translation | docs/texts/xml/caes0004.xml|<p>cohort
of | of | la-transl | translation | docs/texts/xml/caes0004.xml|<p>of
Roman | Roman | la-transl | translation | docs/texts/xml/caes0004.xml|<p>Roman
citizen | citizen | la-transl | translation | docs/texts/xml/caes0004.xml|<p>citizen
Hemeseni | Hemeseni | la-transl | translation | docs/texts/xml/caes0004.xml|<p><persName lang="la " ref="persons.xml#caes0004p04">Hemeseni
in | in | la-transl | translation | docs/texts/xml/caes0004.xml|<p>in
Pannonia | Pannonia | la-transl | translation | docs/texts/xml/caes0004.xml|<p><placeName>Pannonia
prefect | prefect | la-transl | translation | docs/texts/xml/caes0004.xml|<p><rs type="admTitle">prefect
of | of | la-transl | translation | docs/texts/xml/caes0004.xml|<p>of
the | the | la-transl | translation | docs/texts/xml/caes0004.xml|<p>the
fourth | fourth | la-transl | translation | docs/texts/xml/caes0004.xml|<p>fourth
cohort | cohort | la-transl | translation | docs/texts/xml/caes0004.xml|<p>cohort
of | of | la-transl | translation | docs/texts/xml/caes0004.xml|<p>of
Roman | Roman | la-transl | translation | docs/texts/xml/caes0004.xml|<p>Roman
citizen | citizen | la-transl | translation | docs/texts/xml/caes0004.xml|<p>citizen
volunteers | volunteers | la-transl | translation | docs/texts/xml/caes0004.xml|<p>volunteers
in | in | la-transl | translation | docs/texts/xml/caes0004.xml|<p>in
Pannonia | Pannonia | la-transl | translation | docs/texts/xml/caes0004.xml|<p>Pannonia.
Mevius | Mevius | la-transl | translation | docs/texts/xml/caes0004.xml|<p><name><persName lang="la " ref="persons.xml#caes0004p05" nymRef="names.xml#caes0004n05">Mevius
Romanus | Romanus | la-transl | translation | docs/texts/xml/caes0004.xml|<p><name><persName lang="la " ref="persons.xml#caes0004p06" nymRef="names.xml#caes0004n06">Romanus
centurion | centurion | la-transl | translation | docs/texts/xml/caes0004.xml|<p><name><rs type="admTitle">centurion
of | of | la-transl | translation | docs/texts/xml/caes0004.xml|<p>of
the | the | la-transl | translation | docs/texts/xml/caes0004.xml|<p>the
sixth | sixth | la-transl | translation | docs/texts/xml/caes0004.xml|<p>sixth
legion | legion | la-transl | translation | docs/texts/xml/caes0004.xml|<p>legion
Ferrata | Ferrata | la-transl | translation | docs/texts/xml/caes0004.xml|<p>Ferrata
fidelis | fidelis | la-transl | translation | docs/texts/xml/caes0004.xml|<p>fidelis
constans | constans | la-transl | translation | docs/texts/xml/caes0004.xml|<p>constans
Antoniniana | Antoniniana | la-transl | translation | docs/texts/xml/caes0004.xml|<p>Antoniniana
his | his | la-transl | translation | docs/texts/xml/caes0004.xml|<p>his...
to | to | la-transl | translation | docs/texts/xml/caes0004.xml|<p>to
an | an | la-transl | translation | docs/texts/xml/caes0004.xml|<p>an
incomparable | incomparable | la-transl | translation | docs/texts/xml/caes0004.xml|<p>incomparable
man | man | la-transl | translation | docs/texts/xml/caes0004.xml|<p>man.
Αὐρήλιον | Αὐρήλιον | grc | transcription | docs/texts/xml/caes0005.xml|<p><choice><abbr><supplied reason="undefined">Α</unclear>ὐρήλιον</supplied>
Αὐρήλιον | Αὐρήλιον | grc | transcription | docs/texts/xml/caes0005.xml|<p><choice><expan>Αὐρήλιον</expan>
Μάρωνα | Μάρωνα | grc | transcription | docs/texts/xml/caes0005.xml|<p><supplied reason="undefined">Μ</supplied>άρωνα
ἐπίτρ | ἐπίτρ | grc | transcription | docs/texts/xml/caes0005.xml|<p><choice><abbr><hi rend="ligature">ἐπίτρ</hi>
ἐπίτροπον | ἐπίτροπον | grc | transcription | docs/texts/xml/caes0005.xml|<p><choice><expan>ἐπίτροπον</expan>
τοῦ | ὁ | grc | transcription | docs/texts/xml/caes0005.xml|<p>τοῦ
Σεβαστοῦ | σεβαστός | grc | transcription | docs/texts/xml/caes0005.xml|<p><expan><ex>Σεβ</abbr>αστοῦ</ex></expan>
διέποντα | διέποντα | grc | transcription | docs/texts/xml/caes0005.xml|<p><hi rend="ligature">διέποντ</hi>α
τὰ | τὰ | grc | transcription | docs/texts/xml/caes0005.xml|<p>τὰ
μέρη | μέρη | grc | transcription | docs/texts/xml/caes0005.xml|<p><supplied reason="undefined">μέ</supplied>ρη
τῆς | ὁ | grc | transcription | docs/texts/xml/caes0005.xml|<p>τῆς
ἡγεμονίας | ἡγεμονίας | grc | transcription | docs/texts/xml/caes0005.xml|<p><hi rend="ligature">ἡγεμον</hi>ίας
Ν | Ν | grc | transcription | docs/texts/xml/caes0005.xml|<p>Ν</unclear>
ς | ς | grc | transcription | docs/texts/xml/caes0005.xml|<p><unclear>ς</unclear>
Ἀλέξανδρος | Ἀλέξανδρος | grc | transcription | docs/texts/xml/caes0005.xml|<p>Ἀλέξανδρος
ἑκατόνταρχος | ἑκατόνταρχος | grc | transcription | docs/texts/xml/caes0005.xml|<p><supplied reason="undefined">ἑκατόντ</supplied>αρχος
τόν | τόν | grc | transcription | docs/texts/xml/caes0005.xml|<p>τόν
φίλον | φίλον | grc | transcription | docs/texts/xml/caes0005.xml|<p>φίλον.
The | The | grc-transl | translation | docs/texts/xml/caes0005.xml|<p>The
centurion | centurion | grc-transl | translation | docs/texts/xml/caes0005.xml|<p><rs type="admTitle">centurion
N | N | grc-transl | translation | docs/texts/xml/caes0005.xml|<p><persName lang="la " ref="persons.xml#caes0005p01">N-
Alexandros | Alexandros | grc-transl | translation | docs/texts/xml/caes0005.xml|<p><persName lang="la " ref="persons.xml#caes0005p01">Alexandros
honors | honors | grc-transl | translation | docs/texts/xml/caes0005.xml|<p>honors
his | his | grc-transl | translation | docs/texts/xml/caes0005.xml|<p>his
friend | friend | grc-transl | translation | docs/texts/xml/caes0005.xml|<p>friend
Aurelios | Aurelios | grc-transl | translation | docs/texts/xml/caes0005.xml|<p><persName lang="la " ref="persons.xml#caes0005p02">Aurelios
Maron | Maron | grc-transl | translation | docs/texts/xml/caes0005.xml|<p>Maron
procurator | procurator | grc-transl | translation | docs/texts/xml/caes0005.xml|<p><rs type="admTitle">procurator
of | of | grc-transl | translation | docs/texts/xml/caes0005.xml|<p>of
Augustus | Augustus | grc-transl | translation | docs/texts/xml/caes0005.xml|<p>Augustus
and | and | grc-transl | translation | docs/texts/xml/caes0005.xml|<p>and
acting | acting | grc-transl | translation | docs/texts/xml/caes0005.xml|<p>acting
governor | governor | grc-transl | translation | docs/texts/xml/caes0005.xml|<p>governor.
Imperatori | imperator | la | transcription | docs/texts/xml/caes0006.xml|<p><expan><ex>Imp</abbr>eratori</ex></expan>
Caesari | Caesari | la | transcription | docs/texts/xml/caes0006.xml|<p><choice><expan>Cae</supplied>s</abbr>Caesari</expan>
Caio | caio | la | transcription | docs/texts/xml/caes0006.xml|<p><expan><ex>C</abbr>aio</ex></expan>
Valerio | Valerio | la | transcription | docs/texts/xml/caes0006.xml|<p><unclear>Valerio</unclear>
Diocletiano | Diocletiano | la | transcription | docs/texts/xml/caes0006.xml|<p><supplied reason="undefined">Dio</supplied>cletiano
pio | pius | la | transcription | docs/texts/xml/caes0006.xml|<p><supplied reason="undefined"><expan><ex>p</abbr>io</ex></expan>
felici | felix | la | transcription | docs/texts/xml/caes0006.xml|<p><supplied reason="undefined"><expan><ex>f</abbr>elici</ex></expan>
invicto | invictus | la | transcription | docs/texts/xml/caes0006.xml|<p><expan><ex>invic</abbr>to</ex></expan>
Augusto | augustus | la | transcription | docs/texts/xml/caes0006.xml|<p><choice><expan>Au</hi>g</abbr>Augusto</expan>
Clemes | Clemes | la | transcription | docs/texts/xml/caes0006.xml|<p>Clemes
vir | vir | la | transcription | docs/texts/xml/caes0006.xml|<p><expan><ex>v</abbr>ir</ex></expan>
perfectissimus | perficio | la | transcription | docs/texts/xml/caes0006.xml|<p><expan><ex>p</abbr>erfectissimus</ex></expan>
