Text,Lemma,Language,Edition Type,XML Context,File
Marco, marcus, la, transcription, <p><lb><expan><abbr>M</abbr><ex>arco</ex></expan></lb></p>, docs/texts/xml/caes0107.xml
AntonioGordianofilio, AntonioGordianofilio, la, transcription, <p>Antonio<lb/>Gordiano<lb/>filio</p>, docs/texts/xml/caes0107.xml
Augusti, augustus, la, transcription, <p><expan><abbr>Aug</abbr><ex>usti</ex></expan></p>, docs/texts/xml/caes0107.xml
SempronianoRomanoAfricanopio, SempronianoRomanoAfricanopio, la, transcription, <p><lb>Semproniano<lb/>Romano<lb/>Africano<lb/>pio</lb></p>, docs/texts/xml/caes0107.xml
felici, felix, la, transcription, <p><expan><abbr>fel</abbr><ex>ici</ex></expan></p>, docs/texts/xml/caes0107.xml
Augusto, augustus, la, transcription, <p><expan><abbr>Aug</abbr><ex>usto</ex></expan></p>, docs/texts/xml/caes0107.xml
pontifici, pontifex, la, transcription, <p><lb><expan><abbr>pontif</abbr><ex>ici</ex></expan></lb></p>, docs/texts/xml/caes0107.xml
tribunicia, tribunicius, la, transcription, <p><expan><abbr>trib</abbr><ex>unicia</ex></expan></p>, docs/texts/xml/caes0107.xml
potestate, potestas, la, transcription, <p><lb><expan><abbr>pot</abbr><ex>estate</ex></expan></lb></p>, docs/texts/xml/caes0107.xml
consuli, consulo, la, transcription, <p><expan><abbr>co</abbr><ex>n<abbr>s<ex>uli</ex></abbr></ex></expan></p>, docs/texts/xml/caes0107.xml
proconsule, proconsularis, la, transcription, <p><lb><abbr>pro</abbr><ex>consule</ex></lb></p>, docs/texts/xml/caes0107.xml
To, To, la-transl, translation, <p>To</p>, docs/texts/xml/caes0107.xml
Imperator, Imperator, la-transl, translation, <p><rs type="admTitle">Imperator</rs></p>, docs/texts/xml/caes0107.xml
Caesar, Caesar, la-transl, translation, <p><rs type="admTitle">Caesar</rs></p>, docs/texts/xml/caes0107.xml
Marcus, Marcus, la-transl, translation, <p><name><persName lang="la " ref="persons.xml#caes0107p01">Marcus</persName></name></p>, docs/texts/xml/caes0107.xml
Antonius, Antonius, la-transl, translation, <p><name><persName lang="la " ref="persons.xml#caes0107p02">Antonius</persName></name></p>, docs/texts/xml/caes0107.xml
Gordianus, Gordianus, la-transl, translation, <p><name><persName lang="la " ref="persons.xml#caes0107p03">Gordianus</persName></name></p>, docs/texts/xml/caes0107.xml
Sempronianus, Sempronianus, la-transl, translation, <p><name><persName lang="la " ref="persons.xml#caes0107p04">Sempronianus</persName></name></p>, docs/texts/xml/caes0107.xml
Romanus, Romanus, la-transl, translation, <p><name><persName lang="la " ref="persons.xml#caes0107p05">Romanus</persName></name></p>, docs/texts/xml/caes0107.xml
Africanus, Africanus, la-transl, translation, <p><name><persName lang="la " ref="persons.xml#caes0107p06">Africanus</persName></name></p>, docs/texts/xml/caes0107.xml
dutiful, dutiful, la-transl, translation, <p><name>dutiful</name></p>, docs/texts/xml/caes0107.xml
and, and, la-transl, translation, <p>and</p>, docs/texts/xml/caes0107.xml
happy, happy, la-transl, translation, <p>happy</p>, docs/texts/xml/caes0107.xml
Augustus, Augustus, la-transl, translation, <p><name><persName lang="la " ref="persons.xml#caes0107p07">Augustus</persName></name></p>, docs/texts/xml/caes0107.xml
son, son, la-transl, translation, <p><name>son</name></p>, docs/texts/xml/caes0107.xml
of, of, la-transl, translation, <p>of</p>, docs/texts/xml/caes0107.xml
Augustus, Augustus, la-transl, translation, <p><name><persName lang="la " ref="persons.xml#caes0107p08">Augustus</persName></name></p>, docs/texts/xml/caes0107.xml
pontifex, pontifex, la-transl, translation, <p><name><rs type="admTitle">pontifex</rs></name></p>, docs/texts/xml/caes0107.xml
with, with, la-transl, translation, <p>with</p>, docs/texts/xml/caes0107.xml
tribunician, tribunician, la-transl, translation, <p><rs type="admTitle">tribunician</rs></p>, docs/texts/xml/caes0107.xml
power, power, la-transl, translation, <p><rs type="admTitle">power</rs></p>, docs/texts/xml/caes0107.xml
consul, consul, la-transl, translation, <p><rs type="admTitle">consul</rs></p>, docs/texts/xml/caes0107.xml
proconsul, proconsul, la-transl, translation, <p>proconsul</p>, docs/texts/xml/caes0107.xml
Καισαρείας, Καισαρείας, grc, transcription, <p><supplied>Καισ</supplied>αρ<supplied>είας</supplied></p>, docs/texts/xml/caes0108.xml
μείλια, μείλια, grc, transcription, <p><lb><expan><abbr>μ</abbr><ex>είλια</ex></expan></lb></p>, docs/texts/xml/caes0108.xml
ι’, ι’, grc, transcription, <p>ι’</p>, docs/texts/xml/caes0108.xml
ἱπποτρόφοις, ἱπποτρόφοις, grc, transcription, <p>ἱπποτρόφοις</p>, docs/texts/xml/caes0109.xml
νομίσματα, νομίσματα, grc, transcription, <p><expan><abbr>νο</abbr><ex>μίσματα</ex></expan></p>, docs/texts/xml/caes0109.xml
εχκθδ’, εχκθδ’, grc, transcription, <p>εχκθδ’</p>, docs/texts/xml/caes0109.xml
χρ, χρ, grc, transcription, <p><expan><abbr><hi rend="ligature">χρ</hi></abbr></expan></p>, docs/texts/xml/caes0109.xml
υσᾶ, υσᾶ, grc, transcription, <p><expan><abbr><ex>υσᾶ</ex></abbr></expan></p>, docs/texts/xml/caes0109.xml
δ’, δέ, grc, transcription, <p><expan><lb><unclear>δ</unclear>’</lb></expan></p>, docs/texts/xml/caes0109.xml
κατὰ, κατὰ, grc, transcription, <p><expan><abbr>κ</abbr><ex>ατὰ</ex></expan></p>, docs/texts/xml/caes0109.xml
μῆνα, μαίνομαι, grc, transcription, <p><expan><abbr>μῆ</abbr><ex>να</ex></expan></p>, docs/texts/xml/caes0109.xml
α’, α’, grc, transcription, <p>α’</p>, docs/texts/xml/caes0109.xml
νομίσματος, νομίσματος, grc, transcription, <p><expan><abbr>νο</abbr><ex>μίσματος</ex></expan></p>, docs/texts/xml/caes0109.xml
τὸ, τὸ, grc, transcription, <p>τὸ</p>, docs/texts/xml/caes0109.xml
γ’καθ’, γ’καθ’, grc, transcription, <p>γ’<space/>καθ’</p>, docs/texts/xml/caes0109.xml
ἕκαστὸν, ἕκαστὸν, grc, transcription, <p>ἕκαστὸν</p>, docs/texts/xml/caes0109.xml
ἐνιαυτόν, ἐνιαυτόν, grc, transcription, <p><expan><abbr>ἐνιαυτ</abbr><ex>όν</ex></expan></p>, docs/texts/xml/caes0109.xml
γγ’, γγ’, grc, transcription, <p><supplied>γ</supplied>γ’</p>, docs/texts/xml/caes0109.xml
κατὰ, κατὰ, grc, transcription, <p><expan><abbr>κ</abbr><ex>ατὰ</ex></expan></p>, docs/texts/xml/caes0109.xml
μῆνα, μαίνομαι, grc, transcription, <p><expan><abbr>μῆ</abbr><ex>να</ex></expan></p>, docs/texts/xml/caes0109.xml
α’, α’, grc, transcription, <p>α’</p>, docs/texts/xml/caes0109.xml
νο, νο, grc, transcription, <p><expan><abbr>νο</abbr></expan></p>, docs/texts/xml/caes0109.xml
μίσματος, μίσματος, grc, transcription, <p><expan><ex>μίσματος</ex></expan></p>, docs/texts/xml/caes0109.xml
τὸ, τὸ, grc, transcription, <p><expan>τὸ</expan></p>, docs/texts/xml/caes0109.xml
δλς’μῆνες, δλς’μῆνες, grc, transcription, <p>δλς’<expan><abbr><space/>μῆ<ex>νες</expan></abbr></ex></p>, docs/texts/xml/caes0109.xml
ιβ’, ιβ’, grc, transcription, <p>ιβ’</p>, docs/texts/xml/caes0109.xml
νομίσματα, νομίσματα, grc, transcription, <p><expan><abbr>νο</abbr><ex>μίσματα</ex></expan></p>, docs/texts/xml/caes0109.xml
χιαγιβ’, χιαγιβ’, grc, transcription, <p>χιαγιβ’</p>, docs/texts/xml/caes0109.xml
χρ, χρ, grc, transcription, <p><expan><abbr><hi rend="ligature">χρ</hi></abbr></expan></p>, docs/texts/xml/caes0109.xml
υσᾶ, υσᾶ, grc, transcription, <p><expan><abbr><ex>υσᾶ</ex></abbr></expan></p>, docs/texts/xml/caes0109.xml
ς’, σύ, grc, transcription, <p><lb><supplied reason="lost">ς’</supplied></lb></p>, docs/texts/xml/caes0109.xml
κ, κ, grc, transcription, <p><expan><abbr>κ</abbr></expan></p>, docs/texts/xml/caes0109.xml
ατὰ, ατὰ, grc, transcription, <p><expan><ex>ατὰ</ex></expan></p>, docs/texts/xml/caes0109.xml
μῆνα, μαίνομαι, grc, transcription, <p><expan><expan><abbr>μῆ</abbr><ex>να</ex></expan></expan></p>, docs/texts/xml/caes0109.xml
α’, α’, grc, transcription, <p>α’</p>, docs/texts/xml/caes0109.xml
νομίσματος, νομίσματος, grc, transcription, <p><expan><abbr>νο</abbr><ex>μίσματος</ex></expan></p>, docs/texts/xml/caes0109.xml
τὸ, τὸ, grc, transcription, <p>τὸ</p>, docs/texts/xml/caes0109.xml
β’, β’, grc, transcription, <p>β’</p>, docs/texts/xml/caes0109.xml
ἀ, ἀ, grc, transcription, <p><expan><abbr>ἀ</abbr></expan></p>, docs/texts/xml/caes0109.xml
πὸ, πὸ, grc, transcription, <p><expan><ex>πὸ</ex></expan></p>, docs/texts/xml/caes0109.xml
τοῦ, ὁ, grc, transcription, <p><expan>τοῦ</expan></p>, docs/texts/xml/caes0109.xml
στόλου, στόλου, grc, transcription, <p>στόλου</p>, docs/texts/xml/caes0109.xml
ι’, ι’, grc, transcription, <p><supplied>ι</supplied>’</p>, docs/texts/xml/caes0109.xml
δ, δ, grc, transcription, <p>δ</p>, docs/texts/xml/caes0109.xml
κατὰ, κατὰ, grc, transcription, <p><expan><abbr>κ</abbr><ex>ατὰ</ex></expan></p>, docs/texts/xml/caes0109.xml
μῆνα, μαίνομαι, grc, transcription, <p><expan><abbr>μῆ</abbr><ex>να</ex></expan></p>, docs/texts/xml/caes0109.xml
α’, α’, grc, transcription, <p>α’</p>, docs/texts/xml/caes0109.xml
νομίσματος, νομίσματος, grc, transcription, <p><expan><abbr>νο</abbr><ex>μίσματος</ex></expan></p>, docs/texts/xml/caes0109.xml
ας’, ας’, grc, transcription, <p>ας’</p>, docs/texts/xml/caes0109.xml
ἀ, ἀ, grc, transcription, <p><expan><abbr>ἀ</abbr></expan></p>, docs/texts/xml/caes0109.xml
πὸ, πὸ, grc, transcription, <p><expan><ex>πὸ</ex></expan></p>, docs/texts/xml/caes0109.xml
τοῦ, ὁ, grc, transcription, <p><expan>τοῦ</expan></p>, docs/texts/xml/caes0109.xml
μεσίτου, μεσίτου, grc, transcription, <p>μεσίτου</p>, docs/texts/xml/caes0109.xml
ρ’ϙ, ρ’ϙ, grc, transcription, <p><supplied>ρ’</supplied>ϙ</p>, docs/texts/xml/caes0109.xml
κατὰ, κατὰ, grc, transcription, <p><expan><abbr>κ</abbr><ex>ατὰ</ex></expan></p>, docs/texts/xml/caes0109.xml
μῆνα, μαίνομαι, grc, transcription, <p><expan><abbr>μῆ</abbr><ex>να</ex></expan></p>, docs/texts/xml/caes0109.xml
α’, α’, grc, transcription, <p>α’</p>, docs/texts/xml/caes0109.xml
νομίσματος, νομίσματος, grc, transcription, <p><expan><abbr>νο</abbr><ex>μίσματος</ex></expan></p>, docs/texts/xml/caes0109.xml
ιε‹γ’, ιε‹γ’, grc, transcription, <p>ιε<g>‹γ’</g></p>, docs/texts/xml/caes0109.xml
ἀ, ἀ, grc, transcription, <p><expan><abbr>ἀ</abbr></expan></p>, docs/texts/xml/caes0109.xml
πὸ, πὸ, grc, transcription, <p><expan><ex>πὸ</ex></expan></p>, docs/texts/xml/caes0109.xml
τοῦ, ὁ, grc, transcription, <p><expan>τοῦ</expan></p>, docs/texts/xml/caes0109.xml
δικερατίου, δικερατίου, grc, transcription, <p><expan><abbr>δικερατίο</abbr><ex>υ</ex></expan></p>, docs/texts/xml/caes0109.xml
ρ’, ρ’, grc, transcription, <p><lb><supplied reason="lost">ρ’</supplied></lb></p>, docs/texts/xml/caes0109.xml
κατὰ, κατὰ, grc, transcription, <p><expan><abbr>κ</abbr><ex>ατὰ</ex></expan></p>, docs/texts/xml/caes0109.xml
μῆνα, μαίνομαι, grc, transcription, <p><expan><abbr>μῆ</abbr><ex>να</ex></expan></p>, docs/texts/xml/caes0109.xml
α’, α’, grc, transcription, <p>α’</p>, docs/texts/xml/caes0109.xml
νομίσματος, νομίσματος, grc, transcription, <p><expan><abbr>νο</abbr><ex>μίσματος</ex></expan></p>, docs/texts/xml/caes0109.xml
ηγ’, ηγ’, grc, transcription, <p>ηγ’</p>, docs/texts/xml/caes0109.xml
ἀ, ἀ, grc, transcription, <p><expan><abbr>ἀ</abbr></expan></p>, docs/texts/xml/caes0109.xml
πὸ, πὸ, grc, transcription, <p><expan><ex>πὸ</ex></expan></p>, docs/texts/xml/caes0109.xml
τοῦ, ὁ, grc, transcription, <p><expan>τοῦ</expan></p>, docs/texts/xml/caes0109.xml
τετρακερατίου, τετρακερατίου, grc, transcription, <p><expan><abbr>τετρακερ</abbr><ex>ατίου</ex></expan></p>, docs/texts/xml/caes0109.xml
ρ’, ρ’, grc, transcription, <p><lb><supplied reason="lost">ρ’</supplied></lb></p>, docs/texts/xml/caes0109.xml
κατὰ, κατὰ, grc, transcription, <p><expan><abbr>κ</abbr><ex>ατὰ</ex></expan></p>, docs/texts/xml/caes0109.xml
μῆνα, μαίνομαι, grc, transcription, <p><expan><abbr>μῆ</abbr><ex>να</ex></expan></p>, docs/texts/xml/caes0109.xml
α’, α’, grc, transcription, <p>α’</p>, docs/texts/xml/caes0109.xml
νομίσματος, νομίσματος, grc, transcription, <p><expan><abbr>νο</abbr><ex>μίσματος</ex></expan></p>, docs/texts/xml/caes0109.xml
ηγ’, ηγ’, grc, transcription, <p>ηγ’</p>, docs/texts/xml/caes0109.xml
ἀ, ἀ, grc, transcription, <p><expan><abbr>ἀ</abbr></expan></p>, docs/texts/xml/caes0109.xml
πὸ, πὸ, grc, transcription, <p><expan><ex>πὸ</ex></expan></p>, docs/texts/xml/caes0109.xml
τῶν, ὁ, grc, transcription, <p><expan>τῶν</expan></p>, docs/texts/xml/caes0109.xml
συναρχιῶν, συναρχιῶν, grc, transcription, <p><expan><abbr>συναρχιῶ</abbr><ex>ν</ex></expan></p>, docs/texts/xml/caes0109.xml
ρβς’, ρβς’, grc, transcription, <p><supplied>ρ</supplied>βς’</p>, docs/texts/xml/caes0109.xml
κατὰ, κατὰ, grc, transcription, <p><expan><abbr>κ</abbr><ex>ατὰ</ex></expan></p>, docs/texts/xml/caes0109.xml
μῆνα, μαίνομαι, grc, transcription, <p><expan><abbr>μῆ</abbr><ex>να</ex></expan></p>, docs/texts/xml/caes0109.xml
α’, α’, grc, transcription, <p>α’</p>, docs/texts/xml/caes0109.xml
νομίσματος, νομίσματος, grc, transcription, <p><expan><abbr>νο</abbr><ex>μίσματος</ex></expan></p>, docs/texts/xml/caes0109.xml
η‹ο’β’, η‹ο’β’, grc, transcription, <p>η<g>‹ο’β’</g></p>, docs/texts/xml/caes0109.xml
ἀ, ἀ, grc, transcription, <p><expan><abbr>ἀ</abbr></expan></p>, docs/texts/xml/caes0109.xml
πὸ, πὸ, grc, transcription, <p><expan><ex>πὸ</ex></expan></p>, docs/texts/xml/caes0109.xml
ἐπικεφαλαίου, ἐπικεφαλαίου, grc, transcription, <p><expan><expan><abbr>ἐπικεφ</abbr><ex>αλαίου</ex></expan></expan></p>, docs/texts/xml/caes0109.xml
καὶ, καὶ, grc, transcription, <p><expan><abbr>κ</abbr><ex>αὶ</ex></expan></p>, docs/texts/xml/caes0109.xml
ὑποπυργίου, ὑποπυργίου, grc, transcription, <p><expan><abbr>ὑποπυρ</abbr><ex>γίου</ex></expan></p>, docs/texts/xml/caes0109.xml
ρν’, ρν’, grc, transcription, <p><lb><supplied>ρ</supplied>ν’</lb></p>, docs/texts/xml/caes0109.xml
κατὰ, κατὰ, grc, transcription, <p><expan><abbr>κ</abbr><ex>ατὰ</ex></expan></p>, docs/texts/xml/caes0109.xml
μῆνα, μαίνομαι, grc, transcription, <p><expan><abbr>μῆ</abbr><ex>να</ex></expan></p>, docs/texts/xml/caes0109.xml
α’, α’, grc, transcription, <p>α’</p>, docs/texts/xml/caes0109.xml
νομίσματος, νομίσματος, grc, transcription, <p><expan><abbr>νο</abbr><ex>μίσματος</ex></expan></p>, docs/texts/xml/caes0109.xml
ιβ‹’, ιβ‹’, grc, transcription, <p>ιβ<g>‹’</g></p>, docs/texts/xml/caes0109.xml
ἀ, ἀ, grc, transcription, <p><expan><abbr>ἀ</abbr></expan></p>, docs/texts/xml/caes0109.xml
πὸ, πὸ, grc, transcription, <p><expan><ex>πὸ</ex></expan></p>, docs/texts/xml/caes0109.xml
ὀκταβαρίων, ὀκταβαρίων, grc, transcription, <p><expan><expan><abbr>ὀκταβαρ</abbr><ex>ίων</ex></expan></expan></p>, docs/texts/xml/caes0109.xml
καὶ, καὶ, grc, transcription, <p><expan><abbr>κ</abbr><ex>αὶ</ex></expan></p>, docs/texts/xml/caes0109.xml
μυρεψῶν, μυρεψέω, grc, transcription, <p><expan><abbr>μυρεψ</abbr><ex>ῶν</ex></expan></p>, docs/texts/xml/caes0109.xml
ι, ι, grc, transcription, <p><lb><supplied reason="lost">ι</supplied></lb></p>, docs/texts/xml/caes0109.xml
η’, η’, grc, transcription, <p><unclear>η</unclear>’</p>, docs/texts/xml/caes0109.xml
κατὰ, κατὰ, grc, transcription, <p><expan><abbr>κ</abbr><ex>ατὰ</ex></expan></p>, docs/texts/xml/caes0109.xml
μῆνα, μαίνομαι, grc, transcription, <p><expan><abbr>μῆ</abbr><ex>να</ex></expan></p>, docs/texts/xml/caes0109.xml
α’, α’, grc, transcription, <p>α’</p>, docs/texts/xml/caes0109.xml
νομίσματος, νομίσματος, grc, transcription, <p><expan><abbr>νο</abbr><ex>μίσματος</ex></expan></p>, docs/texts/xml/caes0109.xml
α‹’, α‹’, grc, transcription, <p>α<g>‹’</g></p>, docs/texts/xml/caes0109.xml
ἀ, ἀ, grc, transcription, <p><expan><abbr>ἀ</abbr></expan></p>, docs/texts/xml/caes0109.xml
πὸ, πὸ, grc, transcription, <p><expan><ex>πὸ</ex></expan></p>, docs/texts/xml/caes0109.xml
ζυγῶν, ζυγόω, grc, transcription, <p><expan><expan><abbr>ζυγ</abbr><ex>ῶν</ex></expan></expan></p>, docs/texts/xml/caes0109.xml
νομισμάτ, νομισμάτ, grc, transcription, <p><expan><abbr>νομισμ<supplied>άτ</supplied></abbr></expan></p>, docs/texts/xml/caes0109.xml
ων, ων, grc, transcription, <p><expan><abbr><ex>ων</ex></abbr></expan></p>, docs/texts/xml/caes0109.xml
κ, κ, grc, transcription, <p><expan><lb><supplied reason="lost">κ</supplied></lb></expan></p>, docs/texts/xml/caes0109.xml
δ’, δέ, grc, transcription, <p><unclear>δ</unclear>’</p>, docs/texts/xml/caes0109.xml
κατὰ, κατὰ, grc, transcription, <p><expan><abbr>κ</abbr><ex>ατὰ</ex></expan></p>, docs/texts/xml/caes0109.xml
μῆνα, μαίνομαι, grc, transcription, <p><expan><abbr>μῆ</abbr><ex>να</ex></expan></p>, docs/texts/xml/caes0109.xml
α’, α’, grc, transcription, <p>α’</p>, docs/texts/xml/caes0109.xml
νομίσματος, νομίσματος, grc, transcription, <p><expan><abbr>νο</abbr><ex>μίσματος</ex></expan></p>, docs/texts/xml/caes0109.xml
β’, β’, grc, transcription, <p>β’</p>, docs/texts/xml/caes0109.xml
ἀ, ἀ, grc, transcription, <p><expan><abbr>ἀ</abbr></expan></p>, docs/texts/xml/caes0109.xml
πὸ, πὸ, grc, transcription, <p><expan><ex>πὸ</ex></expan></p>, docs/texts/xml/caes0109.xml
χρυσοτελείας, χρυσοτελείας, grc, transcription, <p><expan><expan><abbr>χρυσο</abbr><ex>τελείας</ex></expan></expan></p>, docs/texts/xml/caes0109.xml
βουλευτῶν, βουλευτός, grc, transcription, <p><expan><abbr>βουλευ</abbr><ex>τῶν</ex></expan></p>, docs/texts/xml/caes0109.xml
κατὰ, κατὰ, grc, transcription, <p><lb><gap reason="illegible" extent="unknown" unit="character"><supplied reason="lost"><expan><abbr>κ</abbr><ex>ατὰ</ex></expan></supplied></gap></lb></p>, docs/texts/xml/caes0109.xml
μῆνα, μαίνομαι, grc, transcription, <p><supplied reason="lost"><expan><abbr>μῆ</abbr><ex>να</ex></expan></supplied></p>, docs/texts/xml/caes0109.xml
α’, α’, grc, transcription, <p><supplied reason="lost">α’</supplied></p>, docs/texts/xml/caes0109.xml
νομίσματος, νομίσματος, grc, transcription, <p><supplied reason="lost"><expan><abbr>νο</abbr><ex>μίσματος</ex></expan></supplied></p>, docs/texts/xml/caes0109.xml
ἀ, ἀ, grc, transcription, <p><supplied reason="lost"><unclear><space dim="horizontal"><expan><abbr>ἀ</abbr></expan></space></unclear></supplied></p>, docs/texts/xml/caes0109.xml
πὸ, πὸ, grc, transcription, <p><expan><ex>πὸ</ex></expan></p>, docs/texts/xml/caes0109.xml
ὀσπρεοπωλῶν, ὀσπρεοπωλῶν, grc, transcription, <p><expan><expan><abbr>ὀσπρεοπωλ</abbr><ex>ῶν</ex></expan></expan></p>, docs/texts/xml/caes0109.xml
τα, τα, grc, transcription, <p><lb><gap reason="illegible" quantity="23" unit="character"><space dim="horizontal"><gap reason="illegible" extent="unknown" unit="character">τα</gap></space></gap></lb></p>, docs/texts/xml/caes0109.xml
μηνίεα, μηνίεα, grc, transcription, <p><hi>μην</hi>ίεα</p>, docs/texts/xml/caes0109.xml
To, To, grc-transl, translation, <p>To</p>, docs/texts/xml/caes0109.xml
those, those, grc-transl, translation, <p><rs type="occupation">those</rs></p>, docs/texts/xml/caes0109.xml
who, who, grc-transl, translation, <p><rs type="occupation">who</rs></p>, docs/texts/xml/caes0109.xml
care, care, grc-transl, translation, <p><rs type="occupation">care</rs></p>, docs/texts/xml/caes0109.xml
for, for, grc-transl, translation, <p><rs type="occupation">for</rs></p>, docs/texts/xml/caes0109.xml
the, the, grc-transl, translation, <p><rs type="occupation">the</rs></p>, docs/texts/xml/caes0109.xml
horses, horses, grc-transl, translation, <p><rs type="occupation">horses</rs></p>, docs/texts/xml/caes0109.xml
5629, 5629, grc-transl, translation, <p><space dim="horizontal">5629</space></p>, docs/texts/xml/caes0109.xml
